Entity,Code,Year,Cashew nuts | 00000217 || Yield | 005419 || tonnes per hectare
China,CHN,1985,0.5417
China,CHN,1990,0.6667
China,CHN,1995,0.1884
China,CHN,2000,0.36839998
China,CHN,2005,0.2438
China,CHN,2010,0.6611
China,CHN,2015,0.945
China,CHN,2021,1.1269
Mali,MLI,1980,0.39999998
Mali,MLI,1985,0.39999998
Mali,MLI,1995,1.3491
Mali,MLI,2000,1.3709999
Mali,MLI,2005,1.4166
Mali,MLI,2010,1.7213999
Mali,MLI,2015,2.2121
Mali,MLI,2021,1.5088999
Mexico,MEX,1980,1.1408
Mexico,MEX,1985,2.8995
Mexico,MEX,1990,2.7540998
Mexico,MEX,1995,0.0885
Mexico,MEX,2000,0.7015
Mexico,MEX,2005,3.0496
Mexico,MEX,2010,2.8262
Mexico,MEX,2015,2.9979
Mexico,MEX,2021,2.6059
Peru,PER,1990,5.2941
Peru,PER,1995,4.7486
Peru,PER,2000,5.2963
Peru,PER,2005,6.6857996
Peru,PER,2010,5.2704997
Peru,PER,2015,4.5239
Peru,PER,2021,6.2202
