Entity,Code,Year,"Share of students achieving the minimum threshold (Altinok, Angrist, and Patrinos (2018)) "
Colombia,COL,1995,49.11
Colombia,COL,2000,48.6
Colombia,COL,2005,56.91
Colombia,COL,2010,62.6
Colombia,COL,2015,65.59
Cuba,CUB,1995,95.42
Cuba,CUB,2005,84.49
Ecuador,ECU,2005,50.63
Ecuador,ECU,2010,54.41
Ecuador,ECU,2015,65.36
Germany,DEU,1975,96.65
Germany,DEU,1985,85.79
Germany,DEU,1990,88.44
Germany,DEU,1995,91.36
Germany,DEU,2000,84.09
Germany,DEU,2005,88.7
Germany,DEU,2010,91.27
Germany,DEU,2015,91.69
Ghana,GHA,2005,37.47
Ghana,GHA,2010,45.9
Indonesia,IDN,2000,62.38
Indonesia,IDN,2005,65.44
Indonesia,IDN,2010,62.81
Indonesia,IDN,2015,59.73
Jordan,JOR,1990,55.66
Jordan,JOR,2000,69.59
Jordan,JOR,2005,71.76
Jordan,JOR,2010,71.37
Jordan,JOR,2015,59.24
Singapore,SGP,1985,95.33
Singapore,SGP,1990,97.27
Singapore,SGP,1995,99.73
Singapore,SGP,2000,98.96
Singapore,SGP,2005,98.26
Singapore,SGP,2010,98.47
Singapore,SGP,2015,98.99
Taiwan,TWN,1990,100.0
Taiwan,TWN,2000,96.21
Taiwan,TWN,2005,96.64
Taiwan,TWN,2010,96.92
Taiwan,TWN,2015,97.33
