Entity,Code,Year,Cumulative CO₂ emissions
Angola,AGO,1960,4664496.0
Angola,AGO,1980,65516644.0
Angola,AGO,2000,236512560.0
Angola,AGO,2022,678975500.0
Belize,BLZ,1960,340752.0
Belize,BLZ,1980,3004480.0
Belize,BLZ,2000,8888864.0
Belize,BLZ,2022,20573134.0
Bonaire Sint Eustatius and Saba,BES,1940,379265.0
Bonaire Sint Eustatius and Saba,BES,1960,2150988.0
Bonaire Sint Eustatius and Saba,BES,1980,5033411.0
Bonaire Sint Eustatius and Saba,BES,2000,6411304.0
Bonaire Sint Eustatius and Saba,BES,2022,8274710.0
Cambodia,KHM,1960,1040576.0
Cambodia,KHM,1980,7817113.0
Cambodia,KHM,2000,28769404.0
Cambodia,KHM,2022,207148160.0
Cote d'Ivoire,CIV,1750,0.0
Cote d'Ivoire,CIV,1884,0.0
Cote d'Ivoire,CIV,1900,0.0
Cote d'Ivoire,CIV,1920,0.0
Cote d'Ivoire,CIV,1940,0.0
Cote d'Ivoire,CIV,1960,5648057.0
Cote d'Ivoire,CIV,1980,56760856.0
Cote d'Ivoire,CIV,2000,175416160.0
Cote d'Ivoire,CIV,2022,366460200.0
Croatia,HRV,1900,663303.0
Croatia,HRV,1920,4888568.0
Croatia,HRV,1940,31818400.0
Croatia,HRV,1960,85693590.0
Croatia,HRV,1980,317674460.0
Croatia,HRV,2000,701633540.0
Croatia,HRV,2022,1146477200.0
Libya,LBY,1960,3572400.0
Libya,LBY,1980,312293630.0
Libya,LBY,2000,1122127700.0
Libya,LBY,2022,2349426400.0
Singapore,SGP,1750,0.0
Singapore,SGP,1884,0.0
Singapore,SGP,1900,0.0
Singapore,SGP,1920,0.0
Singapore,SGP,1940,0.0
Singapore,SGP,1960,30800792.0
Singapore,SGP,1980,337132200.0
Singapore,SGP,2000,1166442100.0
Singapore,SGP,2022,2190389500.0
South America,,1884,3664.0
South America,,1900,29744352.0
South America,,1920,295219460.0
South America,,1940,949276100.0
South America,,1960,3324950500.0
South America,,1980,10136829000.0
South America,,2000,22603590000.0
South America,,2022,45060840000.0
Zimbabwe,ZWE,1920,12006928.0
Zimbabwe,ZWE,1940,53714240.0
Zimbabwe,ZWE,1960,148918290.0
Zimbabwe,ZWE,1980,297900200.0
Zimbabwe,ZWE,2000,575718300.0
Zimbabwe,ZWE,2022,798694400.0
