Entity,Code,Year,"8.a.1 - Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2021 United States dollars) - DC_TOF_TRDCML"
Central African Republic,CAF,2005,10400000.0
Central African Republic,CAF,2006,128600000.0
Central African Republic,CAF,2008,5600000.0
Central African Republic,CAF,2010,18910000.0
Central African Republic,CAF,2012,140650000.0
Central African Republic,CAF,2014,10120000.0
Central African Republic,CAF,2016,10800000.0
Central African Republic,CAF,2018,132730000.0
Central African Republic,CAF,2020,44540000.0
Central African Republic,CAF,2021,123850000.0
Ecuador,ECU,2005,28060000.0
Ecuador,ECU,2006,19460000.0
Ecuador,ECU,2008,68220000.0
Ecuador,ECU,2010,93080000.0
Ecuador,ECU,2012,186880000.0
Ecuador,ECU,2014,28460000.0
Ecuador,ECU,2016,71160000.0
Ecuador,ECU,2018,270830000.0
Ecuador,ECU,2020,102870000.0
Ecuador,ECU,2021,71550000.0
Haiti,HTI,2005,69450000.0
Haiti,HTI,2006,91590000.0
Haiti,HTI,2008,147530000.0
Haiti,HTI,2010,388740000.0
Haiti,HTI,2012,351240000.0
Haiti,HTI,2014,228370000.0
Haiti,HTI,2016,113340000.0
Haiti,HTI,2018,460570000.0
Haiti,HTI,2020,354600000.0
Haiti,HTI,2021,230750000.0
