Entity,Code,Year,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)"
India,IND,1990,100.0
India,IND,1995,100.0
India,IND,2000,100.0
India,IND,2005,100.0
India,IND,2010,100.0
India,IND,2015,100.0
India,IND,2017,100.0
Indonesia,IDN,1990,97.65696
Indonesia,IDN,1995,97.660095
Indonesia,IDN,2000,97.108475
Indonesia,IDN,2005,99.00021
Indonesia,IDN,2010,96.42306
Indonesia,IDN,2015,96.14237
Indonesia,IDN,2017,95.56715
New Zealand,NZL,1990,8.860267
New Zealand,NZL,1995,8.710659
New Zealand,NZL,2000,10.752326
New Zealand,NZL,2005,10.28262
New Zealand,NZL,2010,9.8195505
New Zealand,NZL,2015,0.3495744
New Zealand,NZL,2017,0.0
United Kingdom,GBR,1990,91.139084
United Kingdom,GBR,1995,89.58046
United Kingdom,GBR,2000,88.24743
United Kingdom,GBR,2005,88.65419
United Kingdom,GBR,2010,87.50243
United Kingdom,GBR,2015,71.96349
United Kingdom,GBR,2017,66.53325
United States,USA,1990,47.997738
United States,USA,1995,44.694454
United States,USA,2000,43.081345
United States,USA,2005,44.220562
United States,USA,2010,38.21303
United States,USA,2015,8.465306
United States,USA,2017,3.3431704
Zambia,ZMB,1990,100.0
Zambia,ZMB,1995,100.0
Zambia,ZMB,2000,100.0
Zambia,ZMB,2005,100.0
Zambia,ZMB,2010,100.0
Zambia,ZMB,2015,100.0
Zambia,ZMB,2017,100.0
