Entity,Code,Year,Number of people without access to electricity
East Asia & Pacific,,2000,136419016.7
East Asia & Pacific,,2005,131206507.5
East Asia & Pacific,,2010,98392727.84
East Asia & Pacific,,2015,65765314.16
East Asia & Pacific,,2019,43812508.45
Europe & Central Asia,,2000,476822.7493
Europe & Central Asia,,2005,459517.4518
Europe & Central Asia,,2010,267042.7766
Europe & Central Asia,,2015,6751938.004
Europe & Central Asia,,2019,61452.15727
Latin America & Caribbean,,2000,43240647.53
Latin America & Caribbean,,2005,35734354.59
Latin America & Caribbean,,2010,22906172.88
Latin America & Caribbean,,2015,16843123.56
Latin America & Caribbean,,2019,10185844.15
Middle East & North Africa,,2000,28145609.67
Middle East & North Africa,,2005,23620609.92
Middle East & North Africa,,2010,16287825.9
Middle East & North Africa,,2015,14743145.2
Middle East & North Africa,,2019,12639253.55
South Asia,,2000,592939430.7
South Asia,,2005,540447579.8
South Asia,,2010,439300961.7
South Asia,,2015,269649253.6
South Asia,,2019,102826828.4
Sub-Saharan Africa,,2000,492152870.3
Sub-Saharan Africa,,2005,535722350.2
Sub-Saharan Africa,,2010,576429640.5
Sub-Saharan Africa,,2015,609876027.7
Sub-Saharan Africa,,2019,589458546.1
