Entity,Code,Year,Time required to start a business (days)
Brazil,BRA,2014,83.6
Brazil,BRA,2016,82.5
Brazil,BRA,2018,20.1
Brazil,BRA,2019,16.6
Canada,CAN,2003,3.5
Canada,CAN,2004,3.5
Canada,CAN,2006,3.5
Canada,CAN,2008,5.5
Canada,CAN,2010,5.5
Canada,CAN,2012,5.5
Canada,CAN,2014,5.5
Canada,CAN,2016,1.5
Canada,CAN,2018,1.5
Canada,CAN,2019,1.5
China,CHN,2014,31.4
China,CHN,2016,28.9
China,CHN,2018,8.6
China,CHN,2019,8.6
Spain,ESP,2003,138.0
Spain,ESP,2004,137.0
Spain,ESP,2006,60.0
Spain,ESP,2008,61.0
Spain,ESP,2010,52.0
Spain,ESP,2012,30.0
Spain,ESP,2014,14.0
Spain,ESP,2016,13.0
Spain,ESP,2018,12.5
Spain,ESP,2019,12.5
United Kingdom,GBR,2003,12.0
United Kingdom,GBR,2004,12.0
United Kingdom,GBR,2006,11.5
United Kingdom,GBR,2008,11.5
United Kingdom,GBR,2010,11.5
United Kingdom,GBR,2012,11.5
United Kingdom,GBR,2014,6.0
United Kingdom,GBR,2016,4.5
United Kingdom,GBR,2018,4.5
United Kingdom,GBR,2019,4.5
United States,USA,2014,5.6
United States,USA,2016,5.6
United States,USA,2018,5.6
United States,USA,2019,4.2
Venezuela,VEN,2003,143.0
Venezuela,VEN,2004,143.0
Venezuela,VEN,2006,143.0
Venezuela,VEN,2008,141.0
Venezuela,VEN,2010,141.0
Venezuela,VEN,2012,144.0
Venezuela,VEN,2014,144.0
Venezuela,VEN,2016,230.0
Venezuela,VEN,2018,230.0
Venezuela,VEN,2019,230.0
