Entity,Code,Year,Deaths - Cause: Substance use disorders - Sex: Both sexes - Age group: ALLAges
Africa,,2000,15203.92
Africa,,2005,16570.98
Africa,,2010,18414.14
Africa,,2015,21980.42
Africa,,2019,25591.01
Asia,,2000,79643.57
Asia,,2005,85027.18
Asia,,2010,90571.47
Asia,,2015,96268.734
Asia,,2019,107927.414
Europe,,2000,112214.0
Europe,,2005,116340.53
Europe,,2010,90026.8
Europe,,2015,81669.36
Europe,,2019,83446.12
North America,,2000,33714.84
North America,,2005,43616.363
North America,,2010,54455.484
North America,,2015,85128.53
North America,,2019,104225.43
Oceania,,2000,1946.1499
Oceania,,2005,1634.21
Oceania,,2010,1859.41
Oceania,,2015,2271.16
Oceania,,2019,2416.4402
South America,,2000,11135.551
South America,,2005,12674.77
South America,,2010,13669.82
South America,,2015,13829.65
South America,,2019,14697.94
