Entity,Code,Year,Renewable internal freshwater resources per capita (cubic meters)
Brazil,BRA,1961,75149.336
Brazil,BRA,1970,58742.42
Brazil,BRA,1980,46292.215
Brazil,BRA,1990,37563.09
Brazil,BRA,2000,32187.867
Brazil,BRA,2010,28830.656
Brazil,BRA,2019,26730.207
China,CHN,1961,4259.84
China,CHN,1970,3437.4294
China,CHN,1980,2866.6936
China,CHN,1990,2477.922
China,CHN,2000,2227.7837
China,CHN,2010,2102.7805
China,CHN,2019,1998.1602
Egypt,EGY,1961,36.038807
Egypt,EGY,1970,28.750515
Egypt,EGY,1980,22.857897
Egypt,EGY,1990,17.478046
Egypt,EGY,2000,14.01122
Egypt,EGY,2010,11.461001
Egypt,EGY,2019,9.468023
India,IND,1961,3168.6077
India,IND,1970,2593.7158
India,IND,1980,2075.1165
India,IND,1990,1661.2056
India,IND,2000,1364.6226
India,IND,2010,1165.5522
India,IND,2019,1045.4684
Pakistan,PAK,1961,1168.698
Pakistan,PAK,1970,927.6301
Pakistan,PAK,1980,682.1785
Pakistan,PAK,1990,476.545
Pakistan,PAK,2000,356.28702
Pakistan,PAK,2010,282.84253
Pakistan,PAK,2019,246.31284
United States,USA,1961,15340.98
United States,USA,1970,13742.855
United States,USA,1980,12401.805
United States,USA,1990,11289.023
United States,USA,2000,9987.156
United States,USA,2010,9110.096
United States,USA,2019,8582.829
World,OWID_WRL,1961,13631.564
World,OWID_WRL,1970,11287.832
World,OWID_WRL,1980,9316.801
World,OWID_WRL,1990,7777.357
World,OWID_WRL,2000,7046.1567
World,OWID_WRL,2010,6208.361
World,OWID_WRL,2019,5555.3774
