Entity,Code,Year,Value of global merchandise exports as a share of GDP (Fouquin and Hugot; CEPII 2016; National data)
Brazil,BRA,1880,37.25806
Brazil,BRA,1900,27.41936
Brazil,BRA,1920,17.88174
Brazil,BRA,1940,10.33445
Brazil,BRA,1960,8.87539
Brazil,BRA,1980,8.5657
Brazil,BRA,2000,9.16938
Brazil,BRA,2014,9.97679
China,CHN,1880,1.94936
China,CHN,1900,2.25823
China,CHN,1960,4.34454
China,CHN,1980,9.82109
China,CHN,2000,32.53203
China,CHN,2014,22.88893
United Kingdom,GBR,1827,9.57565
United Kingdom,GBR,1840,10.35658
United Kingdom,GBR,1860,19.22359
United Kingdom,GBR,1880,18.31691
United Kingdom,GBR,1900,15.44828
United Kingdom,GBR,1920,22.33473
United Kingdom,GBR,1940,6.14228
United Kingdom,GBR,1960,14.29791
United Kingdom,GBR,1980,19.48463
United Kingdom,GBR,2000,18.19178
United Kingdom,GBR,2014,15.44732
United States,USA,1827,8.73362
United States,USA,1840,7.11563
United States,USA,1860,7.2031
United States,USA,1880,7.87612
United States,USA,1900,6.60214
United States,USA,1920,9.05363
United States,USA,1940,3.82313
United States,USA,1960,3.77913
United States,USA,1980,8.18145
United States,USA,2000,7.99689
United States,USA,2014,9.34098
