Entity,Code,Year,"Revenue, excluding grants (% of GDP)"
Austria,AUT,1972,27.741148
Austria,AUT,1980,32.403893
Austria,AUT,1990,33.02881
Austria,AUT,2000,43.777187
Austria,AUT,2010,43.511665
Austria,AUT,2020,43.241947
Dominican Republic,DOM,1972,17.520378
Dominican Republic,DOM,1980,13.967728
Dominican Republic,DOM,1990,12.041083
Dominican Republic,DOM,2000,13.80254
Dominican Republic,DOM,2010,13.846936
Dominican Republic,DOM,2020,14.660628
East Timor,TLS,2010,274.45584
Lower-middle-income countries,,1990,15.910165
Lower-middle-income countries,,2010,15.964369
Portugal,PRT,1980,22.692337
Portugal,PRT,1990,28.608948
Portugal,PRT,2000,35.32573
Portugal,PRT,2010,34.404194
Portugal,PRT,2020,37.685707
