Entity,Code,Year,"8.3.1 - Proportion of informal employment, by sector and sex (ILO harmonized estimates) - 19th ICLS (%) - SL_ISV_IFEM_19ICLS - Non-agriculture - Female"
Austria,AUT,2017,4.3
Austria,AUT,2019,5.68
Austria,AUT,2020,4.85
Austria,AUT,2021,6.57
Brunei,BRN,2017,38.75
Brunei,BRN,2019,28.86
Brunei,BRN,2020,25.37
Brunei,BRN,2021,32.53
Comoros,COM,2021,86.11
Lebanon,LBN,2019,54.85
Lithuania,LTU,2017,5.83
Lithuania,LTU,2019,4.95
Lithuania,LTU,2020,6.27
Lithuania,LTU,2021,5.2
Moldova,MDA,2017,6.54
Moldova,MDA,2019,5.51
Moldova,MDA,2020,3.32
Moldova,MDA,2021,4.23
Rwanda,RWA,2017,69.01
Rwanda,RWA,2019,69.76
Rwanda,RWA,2020,71.5
Rwanda,RWA,2021,68.64
Samoa,WSM,2017,20.62
Seychelles,SYC,2019,8.75
Seychelles,SYC,2020,8.73
