Entity,Code,Year,Average performance of 15-year-old female students on the science scale,Average performance of 15-year-old male students on the science scale,Population,Continent
Africa,,2022,,,1426736614.0,
Asia,,2022,,,4721383370.0,
Brazil,BRA,2022,400.39685,405.6286,215313504.0,
Bulgaria,BGR,2022,429.71655,413.37012,6781955.0,
Canada,CAN,2022,514.80615,515.30725,38454328.0,
Chile,CHL,2022,436.3311,450.43692,19603736.0,
Cyprus,CYP,2022,425.62476,396.81607,1251492.0,
Europe,,2022,,,744806995.0,
Finland,FIN,2022,521.9556,500.39075,5540745.0,
France,FRA,2022,487.91895,486.50522,64626624.0,
Greece,GRC,2022,445.94443,435.77808,10384972.0,
Guatemala,GTM,2022,370.22226,375.81442,17843914.0,
Indonesia,IDN,2022,385.34622,380.254,275501344.0,
Israel,ISR,2022,464.9654,464.54367,9038313.0,
Japan,JPN,2022,545.6919,547.5875,123951696.0,
Jordan,JOR,2022,390.39536,357.5186,11285875.0,
Mexico,MEX,2022,403.53134,417.06488,127504120.0,
North America,,2022,,,600323657.0,
Norway,NOR,2022,485.15488,471.66385,5434324.0,
Oceania,,2022,,,45038860.0,
Palestine,PSE,2022,381.9706,352.32727,5250076.0,
Philippines,PHL,2022,363.42398,348.71667,115559008.0,
Qatar,QAT,2022,443.13794,421.81836,2695131.0,
Romania,ROU,2022,428.17157,426.8549,19659270.0,
South America,,2022,,,436816679.0,
South Korea,KOR,2022,529.58527,526.2188,51815808.0,
Thailand,THA,2022,414.31458,403.8157,71697024.0,
Ukraine,UKR,2022,450.4673,449.90652,39701744.0,
United States,USA,2022,495.83276,502.7286,338289856.0,
Uzbekistan,UZB,2022,357.07092,352.7266,34627648.0,
Vietnam,VNM,2022,469.50168,475.45273,98186856.0,
