Entity,Code,Year,Deaths - Cause: Diabetes mellitus - Sex: Both sexes - Age group: ALLAges
Chile,CHL,2000,1911.05
Chile,CHL,2005,2481.99
Chile,CHL,2010,2682.07
Chile,CHL,2015,3428.83
Chile,CHL,2019,3176.6
Ireland,IRL,2000,323.69
Ireland,IRL,2005,360.99
Ireland,IRL,2010,382.5
Ireland,IRL,2015,368.52
Ireland,IRL,2019,413.54
United Kingdom,GBR,2000,5819.77
United Kingdom,GBR,2005,5850.56
United Kingdom,GBR,2010,5335.34
United Kingdom,GBR,2015,5585.66
United Kingdom,GBR,2019,5842.3
Uzbekistan,UZB,2000,3052.33
Uzbekistan,UZB,2005,4212.71
Uzbekistan,UZB,2010,4527.23
Uzbekistan,UZB,2015,5690.69
Uzbekistan,UZB,2019,6205.45
