Entity,Code,Year,Top marginal income tax rate (Reynolds (2008)),Continent,Population (historical estimates)
Africa,,1979,,,467976240.0
Africa,,2002,,,860611762.0
Argentina,ARG,1979,45.0,,27584138.0
Argentina,ARG,2002,35.0,,37885024.0
Asia,,1979,,,2584916791.0
Asia,,2002,,,3834687401.0
Australia,AUS,1979,62.0,,14520529.0
Australia,AUS,2002,47.0,,19475842.0
Bolivia,BOL,1979,48.0,,5610389.0
Bolivia,BOL,2002,13.0,,8900591.0
Brazil,BRA,1979,55.0,,119447304.0
Brazil,BRA,2002,28.0,,180476688.0
Chile,CHL,1979,60.0,,11304332.0
Chile,CHL,2002,43.0,,15693798.0
Denmark,DNK,1979,73.0,,5119417.0
Denmark,DNK,2002,59.0,,5378700.0
Egypt,EGY,1979,80.0,,42632456.0
Egypt,EGY,2002,40.0,,74393760.0
Europe,,1979,,,690959650.0
Europe,,2002,,,727921167.0
Guatemala,GTM,1979,40.0,,6814727.0
Guatemala,GTM,2002,31.0,,12289867.0
Hong Kong,HKG,1979,25.0,,4872751.0
Hong Kong,HKG,2002,16.0,,6848847.0
India,IND,1979,60.0,,681248384.0
India,IND,2002,30.0,,1098313088.0
Indonesia,IDN,1979,50.0,,144693088.0
Indonesia,IDN,2002,35.0,,220115088.0
Italy,ITA,1979,72.0,,56070680.0
Italy,ITA,2002,52.0,,57107576.0
Jamaica,JAM,1979,58.0,,2106939.0
Jamaica,JAM,2002,25.0,,2638248.0
Japan,JPN,1979,75.0,,116765512.0
Japan,JPN,2002,50.0,,127301744.0
North America,,1979,,,362654436.0
North America,,2002,,,498067243.0
Oceania,,1979,,,22623402.0
Oceania,,2002,,,32230343.0
Philippines,PHL,1979,70.0,,47154240.0
Philippines,PHL,2002,32.0,,81285576.0
South America,,1979,,,236454207.0
South America,,2002,,,359177090.0
South Korea,KOR,1979,89.0,,37737924.0
South Korea,KOR,2002,36.0,,47320664.0
Spain,ESP,1979,66.0,,37188964.0
Spain,ESP,2002,48.0,,41477652.0
Sweden,SWE,1979,87.0,,8296037.0
Sweden,SWE,2002,56.0,,8926011.0
Thailand,THA,1979,60.0,,44760096.0
Thailand,THA,2002,37.0,,64222576.0
Turkey,TUR,1979,75.0,,43187472.0
Turkey,TUR,2002,45.0,,65988664.0
United Kingdom,GBR,1979,83.0,,56265152.0
United Kingdom,GBR,2002,40.0,,59355688.0
United States,USA,1979,70.0,,220463104.0
United States,USA,2002,39.0,,288350240.0
