Entity,Code,Year,12.c.1 - Fossil-fuel subsidies (consumption and production) (billions of nominal United States dollars) - ER_FFS_CMPT_CD
Belgium,BEL,2015,2450000000.0
Belgium,BEL,2016,2580000000.0
Belgium,BEL,2017,2960000000.0
Belgium,BEL,2018,3350000000.0
Belgium,BEL,2019,3550000000.0
Belgium,BEL,2020,3920000000.0
Belgium,BEL,2021,3750000000.0
Botswana,BWA,2015,0.0
Botswana,BWA,2016,0.0
Botswana,BWA,2017,0.0
Botswana,BWA,2018,0.0
Botswana,BWA,2019,0.0
Botswana,BWA,2020,0.0
Chile,CHL,2015,1420000000.0
Chile,CHL,2016,1670000000.0
Chile,CHL,2017,1870000000.0
Chile,CHL,2018,1520000000.0
Chile,CHL,2019,1650000000.0
Chile,CHL,2020,1420000000.0
Chile,CHL,2021,1940000000.0
