Entity,Code,Year,Population of colonizers by region,Population neither colonized nor colonizer by region,Population colonized by region
Europe,,1500,7647014,70967130,0
Europe,,1600,11878412,89622779,0
Europe,,1700,40589928,74832338,0
Europe,,1800,56000000,139246412,0
Europe,,1900,206057638,200552583,0
Europe,,2022,0,744806995,0
World,OWID_WRL,1500,7647014,493678199,1915186
World,OWID_WRL,1600,11878412,490383015,14349491
World,OWID_WRL,1700,40589928,522726033,29390251
World,OWID_WRL,1800,56000000,885113371,44227258
World,OWID_WRL,1900,206057638,904100110,517725384
World,OWID_WRL,2022,0,7975105024,0
