Entity,Code,Year,Estimated number of malaria deaths
Democratic Republic of Congo,COD,2000,100495
Democratic Republic of Congo,COD,2005,112726
Democratic Republic of Congo,COD,2010,91816
Democratic Republic of Congo,COD,2015,58166
Democratic Republic of Congo,COD,2021,78847
Nigeria,NGA,2000,249259
Nigeria,NGA,2005,230350
Nigeria,NGA,2010,197612
Nigeria,NGA,2015,163088
Nigeria,NGA,2021,193512
Tanzania,TZA,2000,42579
Tanzania,TZA,2005,25833
Tanzania,TZA,2010,21764
Tanzania,TZA,2015,22917
Tanzania,TZA,2021,25787
