Entity,Code,Year,Avocados | 00000572 || Production | 005510 || tonnes
Brazil,BRA,1961,82500.0
Brazil,BRA,1970,153173.0
Brazil,BRA,1980,133956.0
Brazil,BRA,1990,118635.0
Brazil,BRA,2000,86146.0
Brazil,BRA,2010,153189.0
Brazil,BRA,2021,300894.0
China,CHN,2000,70000.0
China,CHN,2010,103000.0
China,CHN,2021,124780.0
Mexico,MEX,1961,108057.0
Mexico,MEX,1970,226034.0
Mexico,MEX,1980,441768.0
Mexico,MEX,1990,686301.0
Mexico,MEX,2000,907439.0
Mexico,MEX,2010,1107135.0
Mexico,MEX,2021,2442944.8
United States,USA,1961,51342.0
United States,USA,1970,41854.0
United States,USA,1980,243850.0
United States,USA,1990,141500.0
United States,USA,2000,217091.0
United States,USA,2010,158150.0
United States,USA,2021,136750.0
