Entity,Code,Year,"Deaths that are from lower respiratory infections per 100,000 people, in both sexes aged all ages"
Germany,DEU,1990,23.879858
Germany,DEU,1995,21.626476
Germany,DEU,2000,21.586472
Germany,DEU,2005,24.046638
Germany,DEU,2010,26.18811
Germany,DEU,2015,28.549946
Germany,DEU,2019,29.554325
Latvia,LVA,1990,14.403721
Latvia,LVA,1995,21.710442
Latvia,LVA,2000,18.332287
Latvia,LVA,2005,22.376772
Latvia,LVA,2010,18.733368
Latvia,LVA,2015,18.714682
Latvia,LVA,2019,18.29542
Malawi,MWI,1990,153.76733
Malawi,MWI,1995,155.58391
Malawi,MWI,2000,136.94472
Malawi,MWI,2005,98.477005
Malawi,MWI,2010,76.17803
Malawi,MWI,2015,60.944218
Malawi,MWI,2019,49.920498
Sri Lanka,LKA,1990,30.261536
Sri Lanka,LKA,1995,23.565973
Sri Lanka,LKA,2000,22.690157
Sri Lanka,LKA,2005,21.920261
Sri Lanka,LKA,2010,20.158821
Sri Lanka,LKA,2015,21.102028
Sri Lanka,LKA,2019,21.502
