Entity,Code,Year,PIAAC: Mean Adult Literacy Proficiency. Total,PIAAC: Mean Adult Numeracy Proficiency. Total,Population (historical estimates),Continent
Asia,,2015,,,4458250376.0,
Australia,AUS,2015,,,23820240.0,Oceania
Chile,CHL,2015,220.14671,206.05902,17870122.0,South America
Europe,,2015,,,743294457.0,
France,FRA,2015,,,63809768.0,Europe
Germany,DEU,2015,,,82073232.0,Europe
Greece,GRC,2015,253.88852,251.86061,10806644.0,Europe
Italy,ITA,2015,,,60232908.0,Europe
Japan,JPN,2015,,,127250936.0,Asia
Lithuania,LTU,2015,266.8238,267.19882,2963764.0,Europe
Netherlands,NLD,2015,,,17041110.0,Europe
North America,,2015,,,570726015.0,
Oceania,,2015,,,40403644.0,
Poland,POL,2015,,,38553148.0,Europe
Russia,RUS,2015,,,144668384.0,Europe
Singapore,SGP,2015,257.6205,257.41882,5650020.0,Asia
South America,,2015,,,413134461.0,
Sweden,SWE,2015,,,9849344.0,Europe
Turkey,TUR,2015,226.54404,219.43004,79646176.0,Asia
United States,USA,2015,,,324607776.0,North America
