Entity,Code,Year,"Homicide rate per 100,000 population - Both sexes - All ages"
Africa (UN),,2000,13.645948
Africa (UN),,2005,12.7091255
Africa (UN),,2010,12.226504
Africa (UN),,2015,12.366553
Africa (UN),,2020,12.066697
Africa (UN),,2021,12.655763
Americas (UN),,2000,15.4731
Americas (UN),,2005,14.792401
Americas (UN),,2010,16.619167
Americas (UN),,2015,15.962302
Americas (UN),,2020,15.0788355
Americas (UN),,2021,14.964148
Asia (UN),,2000,3.3688762
Asia (UN),,2005,2.9657845
Asia (UN),,2010,2.6782172
Asia (UN),,2015,2.3975363
Asia (UN),,2020,2.0178237
Asia (UN),,2021,2.3276985
Europe (UN),,2000,7.7709756
Europe (UN),,2005,6.523952
Europe (UN),,2010,3.4851217
Europe (UN),,2015,3.4586172
Europe (UN),,2020,2.3697846
Europe (UN),,2021,2.244574
Oceania (UN),,2000,3.094576
Oceania (UN),,2005,3.0521536
Oceania (UN),,2010,2.900689
Oceania (UN),,2015,2.9064977
Oceania (UN),,2020,2.9498804
Oceania (UN),,2021,2.9040174
World,OWID_WRL,2000,6.901814
World,OWID_WRL,2005,6.3400927
World,OWID_WRL,2010,6.074349
World,OWID_WRL,2015,5.9162917
World,OWID_WRL,2020,5.5101085
World,OWID_WRL,2021,5.791921
