Entity,Code,Year,Pupil-qualified teacher ratio in pre-primary education (headcount basis)
Bahamas,BHS,2014,29.63226
Bahamas,BHS,2018,32.67273
Belize,BLZ,2014,29.07364
Belize,BLZ,2018,30.87815
Belize,BLZ,2019,36.15942
Bermuda,BMU,2014,8.58696
Bhutan,BTN,2018,11.12435
Bhutan,BTN,2020,8.47413
Mongolia,MNG,2018,34.06582
Nauru,NRU,2019,25.54545
Serbia,SRB,2014,12.74439
Serbia,SRB,2018,11.64035
Serbia,SRB,2019,11.65882
Upper-middle-income countries,,2014,20.30596
Upper-middle-income countries,,2018,19.1419
Upper-middle-income countries,,2019,18.72179
