Entity,Code,Year,"Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth female (% of females ages 15-24)",Population (historical estimates),Continent
Angola,AGO,2022,85.9,80.7,,
Benin,BEN,2022,73.6,59.1,,
Burkina Faso,BFA,2022,55.56,51.68,,
Chad,TCD,2022,41.39,30.64,,
Democratic Republic of Congo,COD,2022,90.79,85.41,,
Gambia,GMB,2022,69.64,79.86,,
Guatemala,GTM,2022,96.41,95.86,,
Lesotho,LSO,2022,83.81,95.59,,
Madagascar,MDG,2022,80.81,80.66,,
Malawi,MWI,2022,73.66,79.83,,
Niger,NER,2022,55.8,40.36,,
Senegal,SEN,2022,81.01,75.22,,
Tanzania,TZA,2022,87.65,89.16,,
Zimbabwe,ZWE,2022,86.75,94.7,,
