Entity,Code,Year,"Current number of cases of onchocerciasis per 100,000 people, in both sexes aged all ages"
Central African Republic,CAF,1990,20269.17
Central African Republic,CAF,1995,15467.282
Central African Republic,CAF,2000,11768.84
Central African Republic,CAF,2005,10160.192
Central African Republic,CAF,2010,6875.9062
Central African Republic,CAF,2015,6062.509
Central African Republic,CAF,2019,5262.617
Chad,TCD,1990,5338.888
Chad,TCD,1995,3854.144
Chad,TCD,2000,2714.3545
Chad,TCD,2005,2593.0996
Chad,TCD,2010,1618.4567
Chad,TCD,2015,1506.9
Chad,TCD,2019,1346.1428
Democratic Republic of Congo,COD,1990,18668.078
Democratic Republic of Congo,COD,1995,17561.258
Democratic Republic of Congo,COD,2000,15993.077
Democratic Republic of Congo,COD,2005,16732.904
Democratic Republic of Congo,COD,2010,12110.3125
Democratic Republic of Congo,COD,2015,12445.831
Democratic Republic of Congo,COD,2019,11890.643
Liberia,LBR,1990,32242.867
Liberia,LBR,1995,29829.338
Liberia,LBR,2000,26863.375
Liberia,LBR,2005,26802.543
Liberia,LBR,2010,19514.742
Liberia,LBR,2015,19444.762
Liberia,LBR,2019,18431.367
South Sudan,SSD,1990,17557.422
South Sudan,SSD,1995,17565.979
South Sudan,SSD,2000,16951.342
South Sudan,SSD,2005,18721.988
South Sudan,SSD,2010,14618.784
South Sudan,SSD,2015,16312.843
South Sudan,SSD,2019,16447.936
