Entity,Code,Year,Deaths - Respiratory infections and tuberculosis - Sex: Both - Age: All Ages (Rate)
African Region (WHO),,1990,234.42
African Region (WHO),,1995,217.2
African Region (WHO),,2000,194.98
African Region (WHO),,2005,164.29
African Region (WHO),,2010,134.1
African Region (WHO),,2015,112.63
African Region (WHO),,2019,94.1
Eastern Mediterranean Region (WHO),,1990,94.74
Eastern Mediterranean Region (WHO),,1995,86.21
Eastern Mediterranean Region (WHO),,2000,72.72
Eastern Mediterranean Region (WHO),,2005,61.23
Eastern Mediterranean Region (WHO),,2010,51.25
Eastern Mediterranean Region (WHO),,2015,44.06
Eastern Mediterranean Region (WHO),,2019,37.86
European Region (WHO),,1990,36.7
European Region (WHO),,1995,39.96
European Region (WHO),,2000,38.61
European Region (WHO),,2005,36.4
European Region (WHO),,2010,31.87
European Region (WHO),,2015,32.18
European Region (WHO),,2019,32.09
Region of the Americas (WHO),,1990,45.43
Region of the Americas (WHO),,1995,40.17
Region of the Americas (WHO),,2000,34.35
Region of the Americas (WHO),,2005,31.65
Region of the Americas (WHO),,2010,31.67
Region of the Americas (WHO),,2015,33.26
Region of the Americas (WHO),,2019,34.03
South-East Asia Region (WHO),,1990,146.47
South-East Asia Region (WHO),,1995,122.75
South-East Asia Region (WHO),,2000,106.71
South-East Asia Region (WHO),,2005,86.17
South-East Asia Region (WHO),,2010,71.85
South-East Asia Region (WHO),,2015,63.06
South-East Asia Region (WHO),,2019,57.19
Western Pacific Region (WHO),,1990,65.23
Western Pacific Region (WHO),,1995,52.43
Western Pacific Region (WHO),,2000,40.33
Western Pacific Region (WHO),,2005,32.81
Western Pacific Region (WHO),,2010,29.94
Western Pacific Region (WHO),,2015,29.03
Western Pacific Region (WHO),,2019,29.41
