Entity,Code,Year,Life expectancy - Sex: all - Age: at birth - Variant: estimates,"Current health expenditure per capita, PPP (current international $)",Population (historical estimates),Continent
Afghanistan,AFG,2019,63.6,285.55814,37769496.0,
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Australia,AUS,2019,83.1,5294.463,25357168.0,
Bangladesh,BGD,2019,72.8,123.287,165516224.0,
Bolivia,BOL,2019,67.8,630.7591,11777318.0,
Brazil,BRA,2019,75.3,1497.8147,211782880.0,
Cameroon,CMR,2019,61.6,136.23727,25782342.0,
Cape Verde,CPV,2019,76.0,369.6832,577037.0,
Chad,TCD,2019,53.3,69.39679,16126868.0,
Chile,CHL,2019,80.3,2424.1492,19039484.0,
Cote d'Ivoire,CIV,2019,59.3,179.55179,26147544.0,
Croatia,HRV,2019,78.7,2167.8142,4129749.0,
Czechia,CZE,2019,79.2,3477.026,10536876.0,
Democratic Republic of Congo,COD,2019,60.3,40.61374,89906896.0,
East Timor,TLS,2019,68.3,220.30516,1280442.0,
Egypt,EGY,2019,71.4,582.22736,105618672.0,
Equatorial Guinea,GNQ,2019,61.6,607.4327,1553037.0,
Eritrea,ERI,2019,67.3,81.84661,3498819.0,
Ethiopia,ETH,2019,65.8,75.11409,114120592.0,
Europe,,2019,,,747418251.0,
Fiji,FJI,2019,67.9,545.3103,918472.0,
Gabon,GAB,2019,66.6,432.18716,2242788.0,
Germany,DEU,2019,81.6,6738.6704,83148144.0,
Guinea,GIN,2019,59.7,119.59002,12877537.0,
High-income countries,,2019,81.2,6240.3516,1214846354.0,
India,IND,2019,70.9,211.00223,1383112064.0,
Iran,IRN,2019,76.1,868.18445,86564208.0,
Israel,ISR,2019,82.8,3326.253,8607922.0,
Japan,JPN,2019,84.4,4587.0347,125791680.0,
Kazakhstan,KAZ,2019,71.6,765.4896,18754260.0,
Kiribati,KIR,2019,67.1,246.99055,124252.0,
Latvia,LVA,2019,75.5,2098.4453,1916552.0,
Lebanon,LBN,2019,79.2,1288.8082,5781912.0,
Lesotho,LSO,2019,54.2,313.6058,2225710.0,
Low-income countries,,2019,63.3,106.04828,661633048.0,
Lower-middle-income countries,,2019,68.9,284.1172,3326051409.0,
Marshall Islands,MHL,2019,64.7,592.61237,44750.0,
Monaco,MCO,2019,86.5,3079.9146,37059.0,
Namibia,NAM,2019,63.1,867.3483,2446648.0,
Nauru,NRU,2019,63.5,1389.7325,12156.0,
Nepal,NPL,2019,69.6,176.95505,28832500.0,
Niger,NER,2019,62.9,72.48323,23443400.0,
Nigeria,NGA,2019,52.9,162.31247,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,66.8,165.55055,223293280.0,
Palau,PLW,2019,64.8,2901.9253,17939.0,
Papua New Guinea,PNG,2019,65.5,104.610886,9542492.0,
Peru,PER,2019,76.2,711.62537,32824864.0,
Philippines,PHL,2019,71.9,379.2366,110380800.0,
South Africa,ZAF,2019,66.2,1187.3295,58087060.0,
South America,,2019,,,428318218.0,
South Sudan,SSD,2019,55.9,62.992046,10447677.0,
Suriname,SUR,2019,72.2,1680.192,600305.0,
Thailand,THA,2019,79.0,731.3096,71307768.0,
Turkmenistan,TKM,2019,69.0,1063.8435,6158424.0,
Tuvalu,TUV,2019,64.3,1071.2986,10983.0,
Ukraine,UKR,2019,74.5,907.15967,44211100.0,
United States,USA,2019,79.1,10921.013,334319680.0,
Upper-middle-income countries,,2019,76.5,1046.1973,2530546049.0,
Vanuatu,VUT,2019,69.9,110.6409,304414.0,
Vietnam,VNM,2019,74.1,558.873,95776712.0,
World,OWID_WRL,2019,72.8,1458.9423,7764951040.0,
Zimbabwe,ZWE,2019,61.3,208.41232,15354606.0,
