Entity,Code,Year,number_without_clean_fuels_cooking
China,CHN,2000,671979669.0
China,CHN,2002,657997560.0
China,CHN,2004,647519070.0
China,CHN,2006,631911640.0
China,CHN,2008,617686626.5
China,CHN,2010,603171184.5
China,CHN,2012,588903020.0
China,CHN,2014,575721940.0
China,CHN,2016,561668121.0
India,IND,2000,822544064.1
India,IND,2002,819878558.5
India,IND,2004,819993674.0
India,IND,2006,818870668.1
India,IND,2008,815735036.3
India,IND,2010,809688442.9
India,IND,2012,801998362.0
India,IND,2014,792907670.0
India,IND,2016,780935370.6
Kenya,KEN,2000,31328462.32
Kenya,KEN,2002,32847199.21
Kenya,KEN,2004,34334579.75
Kenya,KEN,2006,35792941.38
Kenya,KEN,2008,37249276.22
Kenya,KEN,2010,38659823.14
Kenya,KEN,2012,39953465.57
Kenya,KEN,2014,41175445.55
Kenya,KEN,2016,42468815.54
Nigeria,NGA,2000,121256668.6
Nigeria,NGA,2002,127284399.0
Nigeria,NGA,2004,133615382.7
Nigeria,NGA,2006,140300453.6
Nigeria,NGA,2008,147324337.4
Nigeria,NGA,2010,154635724.8
Nigeria,NGA,2012,162061433.0
Nigeria,NGA,2014,169489857.7
Nigeria,NGA,2016,176829596.0
Tunisia,TUN,2000,650459.249
Tunisia,TUN,2002,488627.4195
Tunisia,TUN,2004,366815.3748
Tunisia,TUN,2006,281553.4236
Tunisia,TUN,2008,220785.81
Tunisia,TUN,2010,176545.067
Tunisia,TUN,2012,143180.3076
Tunisia,TUN,2014,117269.867
Tunisia,TUN,2016,101735.478
