Entity,Code,Year,Conversion as share of forest area,"GDP per capita, PPP (constant 2017 international $)",Continent
Algeria,DZA,2015,-0.0715746421267893,11751.634,Africa
Argentina,ARG,2015,-0.3601745884455442,23933.887,South America
Aruba,ABW,2015,0.0,36490.523,North America
Austria,AUT,2015,0.0924974041466663,52873.86,Europe
Azerbaijan,AZE,2015,1.313677647997476,14852.611,Asia
Bahrain,BHR,2015,3.333333333333333,48453.727,Asia
Bangladesh,BGD,2015,0.0,4337.3857,Asia
Belarus,BLR,2015,0.3106503735449122,18362.746,Europe
Belize,BLZ,2015,-0.8373160868227756,9387.914,North America
Bolivia,BOL,2015,-0.4587790775674733,7825.7666,South America
Canada,CAN,2015,-0.0108090757401904,47522.14,North America
Cape Verde,CPV,2015,0.6784260515603803,5955.607,Africa
Cayman Islands,CYM,2015,0.0,68135.46,North America
Chile,CHL,2015,0.6985646803151611,24464.746,South America
China,CHN,2015,0.9209904693066976,12612.352,Asia
Colombia,COL,2015,-0.3301756424664244,14215.688,South America
Croatia,HRV,2015,0.177939646201873,24931.486,Europe
Estonia,EST,2015,0.1437416615379531,31038.805,Europe
Ethiopia,ETH,2015,-0.4187340465196317,1750.6727,Africa
Iceland,ISL,2015,1.32890365448505,52142.934,Europe
India,IND,2015,0.3761224374541141,5411.8755,Asia
Ireland,IRL,2015,0.7248201200524732,71490.805,Europe
Kyrgyzstan,KGZ,2015,1.0153298024460582,4805.141,Asia
Malawi,MWI,2015,-1.713097034710609,1440.8423,Africa
Maldives,MDV,2015,0.0,18051.07,Asia
Myanmar,MMR,2015,-0.9659434177412708,3748.2942,Asia
Nicaragua,NIC,2015,-2.5591614139878645,5563.004,North America
Norway,NOR,2015,0.0642451198418581,62987.516,Europe
Paraguay,PRY,2015,-1.596325263130224,12806.097,South America
Singapore,SGP,2015,-1.092896174863388,89160.73,Asia
Somalia,SOM,2015,-1.206049891966215,1029.6992,Africa
Switzerland,CHE,2015,0.2747801359522649,68159.22,Europe
