Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,Prevalence of anemia among pregnant women (%),Continent
Afghanistan,AFG,2019,5.9917326,36.5,
Albania,ALB,2019,0.93881047,24.5,
Algeria,DZA,2019,2.3451486,33.1,
Andorra,AND,2019,0.29503986,16.8,
Angola,AGO,2019,7.5038376,48.3,
Argentina,ARG,2019,0.85804904,20.6,
Bahamas,BHS,2019,2.3419843,16.8,
Bahrain,BHR,2019,0.71158385,33.5,
Bangladesh,BGD,2019,3.042254,42.2,
Belarus,BLR,2019,0.31318608,23.9,
Benin,BEN,2019,8.860635,58.1,
Bhutan,BTN,2019,2.8524048,38.2,
Botswana,BWA,2019,3.7740674,31.4,
Brazil,BRA,2019,1.494002,19.1,
Burkina Faso,BFA,2019,8.822931,55.3,
Burundi,BDI,2019,5.6736746,44.2,
Cambodia,KHM,2019,2.681414,51.5,
Cameroon,CMR,2019,7.509406,44.4,
Cape Verde,CPV,2019,1.498705,33.9,
Central African Republic,CAF,2019,10.590899,51.5,
Chad,TCD,2019,11.433528,45.3,
China,CHN,2019,0.7979075,18.5,
Colombia,COL,2019,1.3719639,21.8,
Comoros,COM,2019,5.307294,38.0,
Congo,COG,2019,5.244944,51.0,
Cote d'Ivoire,CIV,2019,7.9743156,54.4,
Dominica,DMA,2019,3.5175667,23.4,
Egypt,EGY,2019,2.029165,26.0,
Equatorial Guinea,GNQ,2019,8.188848,48.1,
Eritrea,ERI,2019,4.0583153,40.8,
Eswatini,SWZ,2019,5.6902075,32.2,
Ethiopia,ETH,2019,5.085436,29.0,
Europe,,2019,0.4738411,,
Gabon,GAB,2019,4.3198805,52.5,
Gambia,GMB,2019,5.148903,55.1,
Georgia,GEO,2019,0.9701499,28.0,
Ghana,GHA,2019,4.721351,47.2,
Guatemala,GTM,2019,2.4569812,12.7,
Guyana,GUY,2019,2.9432092,33.0,
Haiti,HTI,2019,6.2499466,48.7,
India,IND,2019,3.4329019,50.1,
Indonesia,IDN,2019,2.3750138,44.2,
Iraq,IRQ,2019,2.6234567,30.9,
Kiribati,KIR,2019,5.1359553,41.7,
Lesotho,LSO,2019,7.7187095,33.5,
Madagascar,MDG,2019,6.6052713,39.3,
Malawi,MWI,2019,4.5564547,39.3,
Maldives,MDV,2019,0.69693106,49.3,
Mauritius,MUS,2019,1.5906941,27.7,
Nauru,NRU,2019,2.9573636,35.9,
Niger,NER,2019,11.702052,54.9,
North America,,2019,0.632825,,
North Korea,PRK,2019,1.7299999,38.8,
Oceania,,2019,2.1083927,,
Pakistan,PAK,2019,6.7495565,44.0,
Philippines,PHL,2019,2.7279067,25.5,
Rwanda,RWA,2019,4.210347,23.5,
Sao Tome and Principe,STP,2019,1.7149246,50.8,
Senegal,SEN,2019,4.181442,56.1,
Somalia,SOM,2019,11.860052,48.7,
South Sudan,SSD,2019,9.868964,40.0,
Tajikistan,TJK,2019,3.349769,38.6,
Togo,TGO,2019,6.6646004,53.7,
Turkmenistan,TKM,2019,4.2798543,27.7,
United States,USA,2019,0.6439842,11.5,
Vietnam,VNM,2019,2.106348,28.4,
World,OWID_WRL,2019,3.929161,36.5,
Yemen,YEM,2019,6.159503,57.5,
