Entity,Code,Year,Deaths - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Rate)
Antigua and Barbuda,ATG,1990,1.3108310529038911
Antigua and Barbuda,ATG,1995,1.2483821755977773
Antigua and Barbuda,ATG,2000,1.0592525378344395
Antigua and Barbuda,ATG,2005,0.7261170282708002
Antigua and Barbuda,ATG,2010,0.6328230311466462
Antigua and Barbuda,ATG,2015,0.6807720346213223
Antigua and Barbuda,ATG,2017,0.691478576308979
Burundi,BDI,1990,0.221175154475702
Burundi,BDI,1995,0.2312781694178712
Burundi,BDI,2000,0.2282002976429375
Burundi,BDI,2005,0.2205507283222511
Burundi,BDI,2010,0.2232054750881108
Burundi,BDI,2015,0.2259467688758785
Burundi,BDI,2017,0.2267456420053796
Hungary,HUN,1990,0.8944668856411748
Hungary,HUN,1995,0.4996899566969505
Hungary,HUN,2000,0.2603417165667738
Hungary,HUN,2005,0.8745768555363221
Hungary,HUN,2010,1.305595243673813
Hungary,HUN,2015,3.605876263642798
Hungary,HUN,2017,2.9558460527631967
Kiribati,KIR,1990,1.1025539238653472
Kiribati,KIR,1995,1.139733255586107
Kiribati,KIR,2000,1.2703035489150731
Kiribati,KIR,2005,1.4410973441921473
Kiribati,KIR,2010,1.7320250478464394
Kiribati,KIR,2015,2.0552957199839357
Kiribati,KIR,2017,2.1973893295981255
Montenegro,MNE,1990,1.417080988205979
Montenegro,MNE,1995,1.518508968924301
Montenegro,MNE,2000,1.7508754481769722
Montenegro,MNE,2005,2.3348821584309714
Montenegro,MNE,2010,2.5207593506158665
Montenegro,MNE,2015,2.6414637116951036
Montenegro,MNE,2017,2.7775938625406273
Southern Sub-Saharan Africa,,1990,1.6548815565003043
Southern Sub-Saharan Africa,,1995,1.7094527993658482
Southern Sub-Saharan Africa,,2000,2.981730541851912
Southern Sub-Saharan Africa,,2005,3.59290417202277
Southern Sub-Saharan Africa,,2010,2.695973521189066
Southern Sub-Saharan Africa,,2015,2.3777659521967793
Southern Sub-Saharan Africa,,2017,2.588086826825222
