Entity,Code,Year,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: Age-standardized (Rate)
African Region (WHO),,1990,23.04
African Region (WHO),,1995,23.32
African Region (WHO),,2000,23.87
African Region (WHO),,2005,24.81
African Region (WHO),,2010,25.32
African Region (WHO),,2015,25.47
African Region (WHO),,2019,25.62
Eastern Mediterranean Region (WHO),,1990,23.0
Eastern Mediterranean Region (WHO),,1995,23.37
Eastern Mediterranean Region (WHO),,2000,23.64
Eastern Mediterranean Region (WHO),,2005,24.06
Eastern Mediterranean Region (WHO),,2010,24.19
Eastern Mediterranean Region (WHO),,2015,24.28
Eastern Mediterranean Region (WHO),,2019,24.3
European Region (WHO),,1990,22.13
European Region (WHO),,1995,22.44
European Region (WHO),,2000,22.32
European Region (WHO),,2005,22.47
European Region (WHO),,2010,22.16
European Region (WHO),,2015,22.13
European Region (WHO),,2019,21.82
Region of the Americas (WHO),,1990,22.11
Region of the Americas (WHO),,1995,23.31
Region of the Americas (WHO),,2000,21.98
Region of the Americas (WHO),,2005,22.45
Region of the Americas (WHO),,2010,22.35
Region of the Americas (WHO),,2015,22.21
Region of the Americas (WHO),,2019,22.24
South-East Asia Region (WHO),,1990,18.08
South-East Asia Region (WHO),,1995,18.07
South-East Asia Region (WHO),,2000,18.54
South-East Asia Region (WHO),,2005,18.96
South-East Asia Region (WHO),,2010,18.63
South-East Asia Region (WHO),,2015,19.56
South-East Asia Region (WHO),,2019,19.93
Western Pacific Region (WHO),,1990,23.34
Western Pacific Region (WHO),,1995,23.15
Western Pacific Region (WHO),,2000,23.97
Western Pacific Region (WHO),,2005,24.78
Western Pacific Region (WHO),,2010,26.14
Western Pacific Region (WHO),,2015,25.22
Western Pacific Region (WHO),,2019,24.97
