Entity,Code,Year,Harmonized Test Scores,"Initial government funding per primary student, constant PPP$",Population (historical estimates),Continent
Africa,,2020,,,1360677453.0,
Asia,,2020,,,4663086623.0,
Austria,AUT,2020,507.63937,,8907780.0,
Bahrain,BHR,2020,451.706,,1477478.0,
Benin,BEN,2020,383.92285,,12643121.0,
Brazil,BRA,2020,413.24475,,213196304.0,
Burkina Faso,BFA,2020,403.65433,,21522632.0,
Chad,TCD,2020,333.11133,,16644707.0,
Costa Rica,CRI,2020,428.5557,,5123107.0,
Cote d'Ivoire,CIV,2020,373.23053,,26811792.0,
Cyprus,CYP,2020,502.16217,,1237540.0,
Egypt,EGY,2020,355.9865,,107465128.0,
Ethiopia,ETH,2020,348.19904,,117190920.0,
Europe,,2020,,,747462669.0,
Finland,FIN,2020,533.70764,,5529468.0,
France,FRA,2020,510.2606,,64480052.0,
Guinea,GIN,2020,408.24908,,13205157.0,
Indonesia,IDN,2020,394.9151,,271857984.0,
Iran,IRN,2020,432.10822,,87290192.0,
Japan,JPN,2020,537.72345,,125244760.0,
Kazakhstan,KAZ,2020,416.15463,,18979250.0,
Kenya,KEN,2020,454.9584,,51985780.0,
Liberia,LBR,2020,331.74594,,5087591.0,
Malawi,MWI,2020,359.48407,,19377058.0,
Malaysia,MYS,2020,445.67532,,33199988.0,
Mali,MLI,2020,307.36496,,21224042.0,
Malta,MLT,2020,474.435,,515364.0,
Mexico,MEX,2020,430.06512,,125998296.0,
Nepal,NPL,2020,368.5576,,29348626.0,
Niger,NER,2020,304.92224,,24333644.0,
North America,,2020,,,594263186.0,
Norway,NOR,2020,513.5878,,5379836.0,
Oceania,,2020,,,43933757.0,
Oman,OMN,2020,423.51343,,4543406.0,
Pakistan,PAK,2020,338.65656,,227196736.0,
Paraguay,PRY,2020,385.54428,,6618700.0,
Romania,ROU,2020,442.16174,,19442040.0,
Saint Vincent and the Grenadines,VCT,2020,391.3927,,104644.0,
Samoa,WSM,2020,369.9079,,214934.0,
South Africa,ZAF,2020,342.76398,,58801928.0,
South America,,2020,,,431530105.0,
Sri Lanka,LKA,2020,400.0,,21715076.0,
Ukraine,UKR,2020,478.17334,,43909664.0,
United Kingdom,GBR,2020,520.35645,,67059472.0,
United States,USA,2020,511.79868,,335942016.0,
Zambia,ZMB,2020,358.14044,,18927716.0,
