Entity,Code,Year,Number without access to basic handwashing (rural)
Algeria,DZA,2010,3157237.5756914997
Algeria,DZA,2012,3144730.9261536
Algeria,DZA,2014,3136708.1532506994
Algeria,DZA,2016,3121040.1687086993
Algeria,DZA,2017,3109789.0046285996
Equatorial Guinea,GNQ,2008,257878.49532
Equatorial Guinea,GNQ,2010,258210.87768
Equatorial Guinea,GNQ,2012,256631.06512
Equatorial Guinea,GNQ,2014,269325.3612
Paraguay,PRY,2012,718894.0392660003
Paraguay,PRY,2014,727988.0789382003
Paraguay,PRY,2016,736743.1369746003
Paraguay,PRY,2017,740917.1645796003
Sierra Leone,SLE,2004,3178940.624244
Sierra Leone,SLE,2006,3379844.336139
Sierra Leone,SLE,2008,3518863.9533405
Sierra Leone,SLE,2010,3588360.384672
Sierra Leone,SLE,2012,3657496.6980468
Sierra Leone,SLE,2014,3721584.7784295
Sierra Leone,SLE,2016,3779541.3068091
Sierra Leone,SLE,2017,3806224.3233522
