Entity,Code,Year,Mean female height (cm)
Latin America and Caribbean,,1896,147.9171
Latin America and Caribbean,,1920,152.3573
Latin America and Caribbean,,1940,155.7107
Latin America and Caribbean,,1960,157.7736
Latin America and Caribbean,,1980,158.2584
Latin America and Caribbean,,1996,158.5122
Middle East and North Africa,,1896,149.8032
Middle East and North Africa,,1920,153.0473
Middle East and North Africa,,1940,155.8251
Middle East and North Africa,,1960,158.0847
Middle East and North Africa,,1980,158.8047
Middle East and North Africa,,1996,158.7462
Pakistan,PAK,1896,150.5970367
Pakistan,PAK,1920,153.5417731
Pakistan,PAK,1940,155.3420357
Pakistan,PAK,1960,155.8713489
Pakistan,PAK,1980,154.9045371
Pakistan,PAK,1996,153.8444325
Serbia,SRB,1896,151.9951454
Serbia,SRB,1920,157.5254897
Serbia,SRB,1940,161.6293508
Serbia,SRB,1960,164.86622
Serbia,SRB,1980,166.9635287
Serbia,SRB,1996,167.6901961
Sudan,SDN,1896,151.7619622
Sudan,SDN,1920,154.3463335
Sudan,SDN,1940,156.4587547
Sudan,SDN,1960,157.9777983
Sudan,SDN,1980,157.1183346
Sudan,SDN,1996,156.0380253
