Entity,Code,Year,Total greenhouse gas emissions per capita excluding land-use change and forestry
China,CHN,1990,2.8073573
China,CHN,1995,3.53642
China,CHN,2000,3.6130633
China,CHN,2005,5.5664263
China,CHN,2010,7.5743246
China,CHN,2015,8.469951
China,CHN,2020,9.083163
France,FRA,1990,8.79657
France,FRA,1995,8.54575
France,FRA,2000,8.631656
France,FRA,2005,8.417771
France,FRA,2010,7.5734367
France,FRA,2015,6.7898693
France,FRA,2020,5.831416
India,IND,1990,1.4222033
India,IND,1995,1.5163348
India,IND,2000,1.6228817
India,IND,2005,1.7028877
India,IND,2010,2.0707898
India,IND,2015,2.3464575
India,IND,2020,2.2922153
Sweden,SWE,1990,8.07051
Sweden,SWE,1995,8.39756
Sweden,SWE,2000,7.70259
Sweden,SWE,2005,7.099189
Sweden,SWE,2010,6.5030704
Sweden,SWE,2015,5.205423
Sweden,SWE,2020,4.384236
United Kingdom,GBR,1990,13.10093
United Kingdom,GBR,1995,12.293552
United Kingdom,GBR,2000,11.730832
United Kingdom,GBR,2005,11.227526
United Kingdom,GBR,2010,9.4737015
United Kingdom,GBR,2015,7.6430025
United Kingdom,GBR,2020,5.939802
United States,USA,1990,23.60308
United States,USA,1995,23.220497
United States,USA,2000,24.117191
United States,USA,2005,22.816431
United States,USA,2010,20.74099
United States,USA,2015,18.829062
United States,USA,2020,16.387293
World,OWID_WRL,1990,5.761655
World,OWID_WRL,1995,5.558506
World,OWID_WRL,2000,5.5633245
World,OWID_WRL,2005,5.9473367
World,OWID_WRL,2010,6.2189174
World,OWID_WRL,2015,6.2122126
World,OWID_WRL,2020,5.8820558
