Entity,Code,Year,public_admin_vdem_owid,public_admin_vdem_high_owid,public_admin_vdem_low_owid
Argentina,ARG,1789,-0.591,0.278,-1.565
Argentina,ARG,1850,-0.591,0.278,-1.565
Argentina,ARG,1900,-0.274,0.184,-0.842
Argentina,ARG,1950,-0.311,0.247,-0.81
Argentina,ARG,2000,0.467,1.021,-0.1
Argentina,ARG,2022,1.499,1.845,1.009
Australia,AUS,1789,0.77,1.484,0.146
Australia,AUS,1850,0.764,1.392,0.034
Australia,AUS,1900,2.254,2.815,1.589
Australia,AUS,1950,3.587,4.232,2.905
Australia,AUS,2000,3.587,4.232,2.905
Australia,AUS,2022,3.377,3.953,2.671
Botswana,BWA,1900,0.659,0.961,0.352
Botswana,BWA,1950,0.659,0.961,0.352
Botswana,BWA,2000,2.746,3.164,2.201
Botswana,BWA,2022,1.46,1.955,0.981
China,CHN,1789,-2.269,-1.663,-2.713
China,CHN,1850,-2.269,-1.663,-2.713
China,CHN,1900,-2.269,-1.663,-2.713
China,CHN,1950,-1.117,-0.79,-1.423
China,CHN,2000,-0.525,-0.246,-0.818
China,CHN,2022,-0.588,-0.401,-0.784
