Entity,Code,Year,Depressive disorders (share of population) - Sex: Both - Age: Age-standardized,"GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2019,4.945168,2079.9219,
Albania,ALB,2019,2.4602032,13655.665,
Algeria,DZA,2019,4.1296806,11627.28,
Angola,AGO,2019,5.7441936,6602.424,
Antigua and Barbuda,ATG,2019,3.0286796,23035.658,
Argentina,ARG,2019,2.4075098,22071.748,
Armenia,ARM,2019,2.9836516,14317.553,
Australia,AUS,2019,4.382458,49379.094,
Austria,AUT,2019,3.125201,55806.438,
Bangladesh,BGD,2019,4.6198096,5467.208,
Belarus,BLR,2019,3.824539,19279.209,
Belgium,BEL,2019,3.5420222,51977.184,
Belize,BLZ,2019,3.309065,9028.552,
Benin,BEN,2019,4.447893,3156.439,
Bermuda,BMU,2019,3.177548,81681.73,
Botswana,BWA,2019,4.2572603,15117.995,
Brazil,BRA,2019,3.8015563,14685.128,
Brunei,BRN,2019,1.6031243,61424.363,
Bulgaria,BGR,2019,2.6916606,23270.225,
Burundi,BDI,2019,4.705153,729.65845,
Cambodia,KHM,2019,2.9500995,4464.2944,
Central African Republic,CAF,2019,5.9238467,861.7668,
Chad,TCD,2019,5.1334114,1561.9967,
China,CHN,2019,2.7240157,15977.764,
Colombia,COL,2019,2.2196279,14616.135,
Congo,COG,2019,5.5257406,3695.0618,
Cote d'Ivoire,CIV,2019,3.9350774,5126.6343,
Democratic Republic of Congo,COD,2019,5.44306,1059.8921,
Ecuador,ECU,2019,3.3306973,11390.217,
Equatorial Guinea,GNQ,2019,5.728945,16240.37,
Estonia,EST,2019,3.6936426,36153.434,
Eswatini,SWZ,2019,4.4255295,8501.267,
Ethiopia,ETH,2019,4.64972,2181.659,
Finland,FIN,2019,4.139295,48583.434,
Ghana,GHA,2019,4.3620286,5345.9414,
Greece,GRC,2019,5.0422506,29721.586,
Grenada,GRD,2019,3.23476,15393.791,
Guatemala,GTM,2019,3.6679313,8671.703,
Guyana,GUY,2019,4.927692,12820.489,
Haiti,HTI,2019,3.6351175,3101.5942,
India,IND,2019,3.6598387,6608.624,
Ireland,IRL,2019,4.2169313,86681.27,
Jamaica,JAM,2019,3.0646706,10244.366,
Japan,JPN,2019,2.1032803,41697.41,
Kazakhstan,KAZ,2019,3.4412057,26351.805,
Kiribati,KIR,2019,2.9703078,1990.518,
Kyrgyzstan,KGZ,2019,3.3816984,5258.3667,
Laos,LAO,2019,2.7468913,7840.0713,
Lebanon,LBN,2019,4.652712,17172.197,
Liberia,LBR,2019,4.556289,1455.6377,
Libya,LBY,2019,4.406427,22535.445,
Malawi,MWI,2019,4.100136,1517.7031,
Mali,MLI,2019,3.5413845,2219.0466,
Malta,MLT,2019,3.1311812,45433.918,
Mexico,MEX,2019,3.5358298,20064.5,
Morocco,MAR,2019,5.07854,8217.599,
Myanmar,MMR,2019,2.1933033,4829.5366,
Nepal,NPL,2019,4.8975983,3922.0813,
Niger,NER,2019,4.235215,1217.446,
Oman,OMN,2019,3.962998,33814.113,
Palestine,PSE,2019,6.1989517,6245.4487,
Portugal,PRT,2019,4.3940663,34945.66,
Qatar,QAT,2019,3.9513783,90840.43,
Senegal,SEN,2019,4.0294,3430.484,
Singapore,SGP,2019,2.0081315,98283.31,
Slovakia,SVK,2019,2.695262,31973.46,
Somalia,SOM,2019,4.84665,1138.2859,
Spain,ESP,2019,4.704455,40760.31,
Sudan,SDN,2019,4.4230967,4133.1304,
Switzerland,CHE,2019,3.705447,70857.086,
Uganda,UGA,2019,6.5845194,2250.015,
Vanuatu,VUT,2019,2.9744234,3070.3508,
Vietnam,VNM,2019,2.473061,10252.005,
