Entity,Code,Year,Arable land (hectares per person)
Bahamas,BHS,1961,0.058228523
Bahamas,BHS,1970,0.039077982
Bahamas,BHS,1980,0.031284638
Bahamas,BHS,1990,0.029555304
Bahamas,BHS,2000,0.021537533
Bahamas,BHS,2010,0.024111103
Bahamas,BHS,2020,0.0196816
Cayman Islands,CYM,1961,0.023185717
Cayman Islands,CYM,1970,0.018987942
Cayman Islands,CYM,1980,0.0116959065
Cayman Islands,CYM,1990,0.0076843277
Cayman Islands,CYM,2000,0.0050431187
Cayman Islands,CYM,2010,0.0036986351
Cayman Islands,CYM,2020,0.0029712825
Guatemala,GTM,1961,0.2587072
Guatemala,GTM,1970,0.20164259
Guatemala,GTM,1980,0.18431586
Guatemala,GTM,1990,0.14364459
Guatemala,GTM,2000,0.14588049
Guatemala,GTM,2010,0.08387842
Guatemala,GTM,2020,0.051131982
Guinea-Bissau,GNB,1961,0.4030135
Guinea-Bissau,GNB,1970,0.4140871
Guinea-Bissau,GNB,1980,0.3066887
Guinea-Bissau,GNB,1990,0.2567919
Guinea-Bissau,GNB,2000,0.2437342
Guinea-Bissau,GNB,2010,0.19142175
Guinea-Bissau,GNB,2020,0.14882222
Nigeria,NGA,1961,0.51632863
Nigeria,NGA,1970,0.5737069
Nigeria,NGA,1980,0.268713
Nigeria,NGA,1990,0.29590106
Nigeria,NGA,2000,0.2848957
Nigeria,NGA,2010,0.20502898
Nigeria,NGA,2020,0.16800478
Sierra Leone,SLE,1961,0.15164039
Sierra Leone,SLE,1970,0.14395961
Sierra Leone,SLE,1980,0.1336312
Sierra Leone,SLE,1990,0.11235986
Sierra Leone,SLE,2000,0.10689198
Sierra Leone,SLE,2010,0.24552651
Sierra Leone,SLE,2020,0.19237378
Syria,SYR,1961,1.293477
Syria,SYR,1970,0.8942589
Syria,SYR,1980,0.58770955
Syria,SYR,1990,0.39366603
Syria,SYR,2000,0.2785195
Syria,SYR,2010,0.20982593
Syria,SYR,2020,0.22443031
Turkmenistan,TKM,2000,0.4245883
Turkmenistan,TKM,2010,0.3682633
Turkmenistan,TKM,2020,0.31037825
