Entity,Code,Year,"Deaths that are from all causes attributed to ambient particulate matter pollution per 100,000 people, in both sexes aged age-standardized"
American Samoa,ASM,1990,20.254501
American Samoa,ASM,1995,20.690687
American Samoa,ASM,2000,17.740503
American Samoa,ASM,2005,17.635296
American Samoa,ASM,2010,16.150883
American Samoa,ASM,2015,16.863428
American Samoa,ASM,2019,17.320436
Bangladesh,BGD,1990,32.390633
Bangladesh,BGD,1995,35.45938
Bangladesh,BGD,2000,42.914707
Bangladesh,BGD,2005,48.268757
Bangladesh,BGD,2010,53.249958
Bangladesh,BGD,2015,56.936325
Bangladesh,BGD,2019,61.780968
Cook Islands,COK,1990,18.54663
Cook Islands,COK,1995,16.388546
Cook Islands,COK,2000,15.462289
Cook Islands,COK,2005,14.114132
Cook Islands,COK,2010,11.880657
Cook Islands,COK,2015,12.028366
Cook Islands,COK,2019,12.785702
Region of the Americas (WHO),,1990,33.07133
Region of the Americas (WHO),,1995,31.09252
Region of the Americas (WHO),,2000,27.944359
Region of the Americas (WHO),,2005,23.780642
Region of the Americas (WHO),,2010,20.579432
Region of the Americas (WHO),,2015,18.35798
Region of the Americas (WHO),,2019,17.426048
