Entity,Code,Year,Deaths in ongoing wars - Conflict type: non-state,Deaths in ongoing wars - Conflict type: extra-state,Deaths in ongoing wars - Conflict type: intra-state,Deaths in ongoing wars - Conflict type: inter-state
World,OWID_WRL,1816,0.0,15309.0,0,0.0
World,OWID_WRL,1823,7904.0,7500.0,8647,1000.0
World,OWID_WRL,1830,2500.0,39433.0,9767,0.0
World,OWID_WRL,1837,3642.0,1000.0,34868,0.0
World,OWID_WRL,1844,1000.0,5445.0,2818,0.0
World,OWID_WRL,1851,1000.0,4623.0,18125,650.0
World,OWID_WRL,1858,5500.0,8960.0,6400,0.0
World,OWID_WRL,1865,1100.0,13152.0,203353,48057.0
World,OWID_WRL,1872,8000.0,21812.0,40484,0.0
World,OWID_WRL,1879,0.0,25500.0,2850,2774.0
World,OWID_WRL,1886,6909.0,2200.0,0,0.0
World,OWID_WRL,1893,4909.0,11992.0,2000,0.0
World,OWID_WRL,1900,0.0,15337.0,26590,7003.0
World,OWID_WRL,1907,0.0,12547.0,5700,1000.0
World,OWID_WRL,1914,0.0,1633.0,27681,1560218.0
World,OWID_WRL,1921,0.0,14725.0,23594,25833.0
World,OWID_WRL,1928,0.0,4444.0,58584,0.0
World,OWID_WRL,1935,0.0,0.0,57143,33165.0
World,OWID_WRL,1942,0.0,0.0,0,2934549.0
World,OWID_WRL,1949,1000.0,30854.0,234936,1167.0
World,OWID_WRL,1956,0.0,8636.0,12250,5647.0
World,OWID_WRL,1963,0.0,2071.0,31909,0.0
World,OWID_WRL,1970,1250.0,3196.0,36344,103645.0
World,OWID_WRL,1977,0.0,3336.0,24982,7917.0
World,OWID_WRL,1984,0.0,17100.0,69177,138889.0
World,OWID_WRL,1991,0.0,1150.0,103372,20966.0
World,OWID_WRL,1998,0.0,0.0,53199,40000.0
World,OWID_WRL,2007,0.0,9590.0,16406,0.0
