Entity,Code,Year,"Unemployment, total (% of total labor force) (modeled ILO estimate)"
Bangladesh,BGD,1991,2.2
Bangladesh,BGD,1995,2.482
Bangladesh,BGD,2000,3.27
Bangladesh,BGD,2005,4.25
Bangladesh,BGD,2010,3.38
Bangladesh,BGD,2015,4.366
Bangladesh,BGD,2021,5.229
Canada,CAN,1991,10.32
Canada,CAN,1995,9.49
Canada,CAN,2000,6.83
Canada,CAN,2005,6.76
Canada,CAN,2010,8.06
Canada,CAN,2015,6.91
Canada,CAN,2021,7.51
Central African Republic,CAF,1991,5.617
Central African Republic,CAF,1995,5.699
Central African Republic,CAF,2000,5.609
Central African Republic,CAF,2005,5.695
Central African Republic,CAF,2010,5.666
Central African Republic,CAF,2015,5.606
Central African Republic,CAF,2021,6.575
China,CHN,1991,2.37
China,CHN,1995,3.0
China,CHN,2000,3.26
China,CHN,2005,4.52
China,CHN,2010,4.53
China,CHN,2015,4.63
China,CHN,2021,4.817
Colombia,COL,1991,10.12
Colombia,COL,1995,8.72
Colombia,COL,2000,20.52
Colombia,COL,2005,11.06
Colombia,COL,2010,10.98
Colombia,COL,2015,8.3
Colombia,COL,2021,14.336
Netherlands,NLD,1991,7.28
Netherlands,NLD,1995,7.16
Netherlands,NLD,2000,2.73
Netherlands,NLD,2005,5.87
Netherlands,NLD,2010,4.99
Netherlands,NLD,2015,6.87
Netherlands,NLD,2021,4.01
Sweden,SWE,1991,3.24
Sweden,SWE,1995,8.9
Sweden,SWE,2000,5.47
Sweden,SWE,2005,7.49
Sweden,SWE,2010,8.61
Sweden,SWE,2015,7.43
Sweden,SWE,2021,8.661
United States,USA,1991,6.8
United States,USA,1995,5.65
United States,USA,2000,3.99
United States,USA,2005,5.08
United States,USA,2010,9.63
United States,USA,2015,5.28
United States,USA,2021,5.464
