Entity,Code,Year,$2.15 a day - Share of population in poverty,Population (historical estimates),Continent
Africa,,2019,,1327701380.0,
Asia,,2019,,4627738749.0,
Belarus,BLR,2019,0.0,9673971.0,
Bhutan,BTN,2019,,767467.0,
Brazil,BRA,2019,5.388581,211782880.0,
China,CHN,2019,0.14242858,1421864064.0,
Democratic Republic of Congo,COD,2019,,89906896.0,
Egypt,EGY,2019,1.4670148,105618672.0,
Europe,,2019,,747418251.0,
France,FRA,2019,0.051448993,64399760.0,
India,IND,2019,12.731296,1383112064.0,
Indonesia,IDN,2019,4.380574,269582880.0,
Japan,JPN,2019,,125791680.0,
Mozambique,MOZ,2019,74.38077,30285602.0,
Nigeria,NGA,2019,,203304496.0,
North America,,2019,,590497015.0,
Oceania,,2019,,43278474.0,
Pakistan,PAK,2019,,223293280.0,
South Africa,ZAF,2019,,58087060.0,
South America,,2019,,428318218.0,
United States,USA,2019,0.99917054,334319680.0,
Vietnam,VNM,2019,,95776712.0,
