Entity,Code,Year,Women's share of population ages 15+ living with HIV (%)
Cambodia,KHM,1990,40.5
Cambodia,KHM,1995,40.2
Cambodia,KHM,2000,44.8
Cambodia,KHM,2005,50.7
Cambodia,KHM,2010,53.1
Cambodia,KHM,2015,53.7
Cambodia,KHM,2021,52.4
Jamaica,JAM,1990,42.0
Jamaica,JAM,1995,43.1
Jamaica,JAM,2000,45.1
Jamaica,JAM,2005,47.4
Jamaica,JAM,2010,48.5
Jamaica,JAM,2015,49.1
Jamaica,JAM,2021,50.4
Low-income countries,,1990,52.352795
Low-income countries,,1995,54.306255
Low-income countries,,2000,54.93371
Low-income countries,,2005,55.330086
Low-income countries,,2010,55.585514
Low-income countries,,2015,56.922005
Low-income countries,,2021,59.249397
Mozambique,MOZ,1990,60.8
Mozambique,MOZ,1995,62.7
Mozambique,MOZ,2000,63.0
Mozambique,MOZ,2005,62.3
Mozambique,MOZ,2010,61.3
Mozambique,MOZ,2015,61.8
Mozambique,MOZ,2021,63.4
