Entity,Code,Year,Rice | 00000027 || Production | 005510 || tonnes
Guyana,GUY,1961,215103.0
Guyana,GUY,1970,209697.0
Guyana,GUY,1980,281762.0
Guyana,GUY,1990,155740.0
Guyana,GUY,2000,448740.0
Guyana,GUY,2010,556193.0
Guyana,GUY,2021,559113.0
Poland,POL,2021,0.0
Puerto Rico,PRI,1961,2900.0
Puerto Rico,PRI,1970,4600.0
Puerto Rico,PRI,1980,5800.0
Puerto Rico,PRI,1990,0.0
Puerto Rico,PRI,2000,0.0
Puerto Rico,PRI,2010,0.0
Puerto Rico,PRI,2021,166.54
Russia,RUS,2000,584312.0
Russia,RUS,2010,1060658.0
Russia,RUS,2021,1076411.5
Tajikistan,TJK,2000,81978.0
Tajikistan,TJK,2010,76854.0
Tajikistan,TJK,2021,67000.0
Trinidad and Tobago,TTO,1961,10160.0
Trinidad and Tobago,TTO,1970,10301.0
Trinidad and Tobago,TTO,1980,9541.0
Trinidad and Tobago,TTO,1990,13532.0
Trinidad and Tobago,TTO,2000,6256.0
Trinidad and Tobago,TTO,2010,2259.0
Trinidad and Tobago,TTO,2021,351.1
