Entity,Code,Year,Incinerated - projections,Mismanaged,Landfilled,Recycled,Incinerated,Mismanaged  - projections,Landfilled  - projections,Recycled  - projections
Americas (excl. USA),,2020,481600.0,,,,,11047721.0,22953504.0,3744013.0
Americas (excl. USA),,2030,1137929.0,,,,,11963618.0,28109196.0,5624526.0
Americas (excl. USA),,2040,2117600.0,,,,,12804489.0,34680400.0,8053323.0
Americas (excl. USA),,2050,3527542.0,,,,,13342129.0,42502996.0,11004940.0
Americas (excl. USA),,2060,5464772.0,,,,,13650368.0,50949228.0,14474149.0
Americas (excl. USA),,2000,,5291803.0,10031376.0,772024.0,199475.0,,,
Americas (excl. USA),,2010,,8665047.0,16541807.0,2004698.0,306754.0,,,
China,CHN,2020,16131491.0,,,,,18048244.0,25144196.0,8912814.0
China,CHN,2030,21218794.0,,,,,21053600.0,38833780.0,15177377.0
China,CHN,2040,26401790.0,,,,,24193782.0,55149268.0,24080270.0
China,CHN,2050,29438956.0,,,,,25798002.0,69639870.0,33732252.0
China,CHN,2060,30759486.0,,,,,25862736.0,83624220.0,42628576.0
China,CHN,2000,,10350894.0,4385828.0,819305.0,1511666.0,,,
China,CHN,2010,,17217424.0,12608753.0,3673289.0,6874876.0,,,
Europe,,2020,26170132.0,,,,,3830588.0,30703124.0,8792459.0
Europe,,2030,30959796.0,,,,,3297016.0,36239036.0,13680183.0
Europe,,2040,37060316.0,,,,,2479269.0,42556690.0,20351368.0
Europe,,2050,44658640.0,,,,,1314002.0,49263960.0,28997512.0
Europe,,2060,55126376.0,,,,,1154697.0,55533012.0,39647490.0
Europe,,2000,,5424551.0,28916888.0,1884673.0,6179627.0,,,
Europe,,2010,,5154416.0,31739158.0,5029108.0,15651124.0,,,
India,IND,2020,840271.0,,,,,8850332.0,7235357.0,2649072.0
India,IND,2030,1976290.0,,,,,12585343.0,14652165.0,5426032.0
India,IND,2040,4384433.0,,,,,17727516.0,27452670.0,10215344.0
India,IND,2050,8699169.0,,,,,22894322.0,45599740.0,16064093.0
India,IND,2060,15061957.0,,,,,25976752.0,65490220.0,21555514.0
India,IND,2000,,2359011.0,876390.0,177113.0,58963.0,,,
India,IND,2010,,5035518.0,2759210.0,852490.0,264545.0,,,
Middle East & North Africa,,2020,131117.0,,,,,6814538.0,9374395.0,963123.0
Middle East & North Africa,,2030,553848.0,,,,,8011508.0,12621285.0,1547652.0
Middle East & North Africa,,2040,1310442.0,,,,,9746141.0,17896372.0,2508445.0
Middle East & North Africa,,2050,2596577.0,,,,,11718751.0,25423036.0,3892824.0
Middle East & North Africa,,2060,4587833.0,,,,,13576179.0,35070700.0,5717701.0
Middle East & North Africa,,2000,,3121883.0,3459274.0,193797.0,27877.0,,,
Middle East & North Africa,,2010,,4885492.0,6045373.0,485918.0,48840.0,,,
United States,USA,2020,13863507.0,,,,,2492386.0,52817990.0,3343834.0
United States,USA,2030,16602034.0,,,,,1731006.0,61625508.0,5233698.0
United States,USA,2040,19868972.0,,,,,804474.0,71632504.0,7709009.0
United States,USA,2050,23995284.0,,,,,959203.0,82507700.0,11063801.0
United States,USA,2060,29221202.0,,,,,1149850.0,95716984.0,15608453.0
United States,USA,2000,,3638777.0,34858036.0,1098544.0,7151613.0,,,
United States,USA,2010,,3442054.0,46075964.0,2164681.0,10865699.0,,,
