Entity,Code,Year,"Average weekly hours worked (women, 15+) (OECD Labor Force Statistics (2017))"
Australia,AUS,2005,31.10918742
Australia,AUS,2010,31.0412815
Australia,AUS,2016,31.07760604
Costa Rica,CRI,2010,38.38797944
Costa Rica,CRI,2016,38.34402465
Czechia,CZE,2005,39.5753095
Czechia,CZE,2010,38.9992224
Czechia,CZE,2016,38.40761676
Poland,POL,2005,38.05544066
Poland,POL,2010,38.14732277
Poland,POL,2016,38.7523407
United Kingdom,GBR,1983,30.16480774
United Kingdom,GBR,1985,30.08179523
United Kingdom,GBR,1990,30.83508128
United Kingdom,GBR,1995,30.74623033
United Kingdom,GBR,2000,30.92024559
United Kingdom,GBR,2005,31.36015501
United Kingdom,GBR,2010,31.21265763
United Kingdom,GBR,2016,31.88076962
