Entity,Code,Year,Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number)
China,CHN,1990,93316
China,CHN,1995,106958
China,CHN,2000,134438
China,CHN,2005,170967
China,CHN,2010,218436
China,CHN,2015,259217
China,CHN,2019,320715
India,IND,1990,24195
India,IND,1995,28678
India,IND,2000,36351
India,IND,2005,47478
India,IND,2010,62664
India,IND,2015,98764
India,IND,2019,129011
United States,USA,1990,73079
United States,USA,1995,94855
United States,USA,2000,96426
United States,USA,2005,109900
United States,USA,2010,121781
United States,USA,2015,134411
United States,USA,2019,143919
