Entity,Code,Year,2.1.1 Prevalence of undernourishment | 00000000024000 || Value | 006121 || Percent,"GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2020,29.8,1968.341,
Albania,ALB,2020,3.9,13256.125,
Angola,AGO,2020,20.8,6032.275,
Argentina,ARG,2020,3.7,19685.217,
Australia,AUS,2020,2.5,48747.85,
Bangladesh,BGD,2020,11.4,5591.374,
Belize,BLZ,2020,7.4,7703.118,
Benin,BEN,2020,7.4,3186.478,
Bolivia,BOL,2020,13.9,7679.933,
Botswana,BWA,2020,21.9,13545.674,
Brunei,BRN,2020,5.9,61603.55,
Burkina Faso,BFA,2020,18.0,2093.7336,
Cambodia,KHM,2020,6.3,4276.1846,
Cape Verde,CPV,2020,17.7,5768.5386,
Central African Republic,CAF,2020,52.2,847.765,
Chad,TCD,2020,32.7,1489.1868,
Colombia,COL,2020,8.2,13387.701,
Congo,COG,2020,31.6,3384.6543,
Croatia,HRV,2020,2.5,26950.719,
Democratic Republic of Congo,COD,2020,39.8,1044.0712,
Djibouti,DJI,2020,13.5,4753.8877,
East Timor,TLS,2020,26.2,4856.518,
Ecuador,ECU,2020,15.4,10356.975,
Estonia,EST,2020,2.5,35883.266,
Eswatini,SWZ,2020,11.0,8290.409,
Ethiopia,ETH,2020,24.9,2253.2358,
Fiji,FJI,2020,5.7,10966.925,
Gabon,GAB,2020,17.2,13903.289,
Gambia,GMB,2020,21.6,2042.6202,
Ghana,GHA,2020,4.1,5263.5264,
Haiti,HTI,2020,47.2,2959.0894,
Iraq,IRQ,2020,15.9,8919.798,
Ireland,IRL,2020,2.5,91099.75,
Kiribati,KIR,2020,4.2,1944.8469,
Laos,LAO,2020,5.1,7763.9487,
Lebanon,LBN,2020,10.9,13780.958,
Lesotho,LSO,2020,34.7,2292.1953,
Madagascar,MDG,2020,48.5,1436.2069,
Malawi,MWI,2020,17.8,1489.6014,
Mali,MLI,2020,9.8,2123.8281,
Mauritius,MUS,2020,7.8,20224.223,
Namibia,NAM,2020,18.0,9048.184,
Oman,OMN,2020,9.8,33098.21,
Peru,PER,2020,8.3,11176.919,
Sierra Leone,SLE,2020,27.4,1586.196,
Tunisia,TUN,2020,3.1,10050.046,
Vanuatu,VUT,2020,11.9,2836.8135,
