Entity,Code,Year,RCV1 (% of one-year-olds immunized)
Bahrain,BHR,1980,45
Bahrain,BHR,1985,78
Bahrain,BHR,1990,87
Bahrain,BHR,1995,95
Bahrain,BHR,2000,98
Bahrain,BHR,2005,99
Bahrain,BHR,2010,99
Bahrain,BHR,2015,99
Bahrain,BHR,2021,99
Kiribati,KIR,2005,85
Kiribati,KIR,2010,89
Kiribati,KIR,2015,84
Kiribati,KIR,2021,80
United Arab Emirates,ARE,1985,60
United Arab Emirates,ARE,1990,80
United Arab Emirates,ARE,1995,90
United Arab Emirates,ARE,2000,94
United Arab Emirates,ARE,2005,92
United Arab Emirates,ARE,2010,94
United Arab Emirates,ARE,2015,99
United Arab Emirates,ARE,2021,99
