Entity,Code,Year,"Number of new cases of tetanus, in both sexes aged under 5"
Algeria,DZA,1990,39.733673
Algeria,DZA,1995,22.689499
Algeria,DZA,2000,14.111583
Algeria,DZA,2005,10.308522
Algeria,DZA,2010,7.7557173
Algeria,DZA,2015,5.99737
Algeria,DZA,2019,4.261728
Cameroon,CMR,1990,384.43573
Cameroon,CMR,1995,413.17487
Cameroon,CMR,2000,372.55896
Cameroon,CMR,2005,240.57579
Cameroon,CMR,2010,255.86078
Cameroon,CMR,2015,193.69806
Cameroon,CMR,2019,122.56914
Fiji,FJI,1990,0.11110113
Fiji,FJI,1995,0.1089221
Fiji,FJI,2000,0.121948704
Fiji,FJI,2005,0.121154696
Fiji,FJI,2010,0.11490526
Fiji,FJI,2015,0.10463462
Fiji,FJI,2019,0.09750684
Thailand,THA,1990,217.6661
Thailand,THA,1995,123.259415
Thailand,THA,2000,36.746593
Thailand,THA,2005,8.756204
Thailand,THA,2010,5.817867
Thailand,THA,2015,4.609817
Thailand,THA,2019,3.6794503
Turkmenistan,TKM,1990,0.64995927
Turkmenistan,TKM,1995,0.27412888
Turkmenistan,TKM,2000,0.1441722
Turkmenistan,TKM,2005,0.08357777
Turkmenistan,TKM,2010,0.09771888
Turkmenistan,TKM,2015,0.11316681
Turkmenistan,TKM,2019,0.046151124
United Kingdom,GBR,1990,0.67909324
United Kingdom,GBR,1995,0.3967587
United Kingdom,GBR,2000,0.19044991
United Kingdom,GBR,2005,0.09547768
United Kingdom,GBR,2010,0.10834614
United Kingdom,GBR,2015,0.08183967
United Kingdom,GBR,2019,0.075104035
