Entity,Code,Year,Years lived with disability,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2016,,,1232111820.0,
Argentina,ARG,2016,9.48,23189.527,43668236.0,
Asia,,2016,,,4502955714.0,
Bahamas,BHS,2016,8.98,33596.637,395986.0,
Benin,BEN,2016,8.48,2859.3916,11260091.0,
Bermuda,BMU,2016,9.67,78149.35,63090.0,
Bolivia,BOL,2016,9.24,8034.173,11263016.0,
Bosnia and Herzegovina,BIH,2016,10.25,12837.599,3480985.0,
Brunei,BRN,2016,9.4,59980.99,426001.0,
Burundi,BDI,2016,6.83,764.3366,10903329.0,
Chad,TCD,2016,8.11,1683.4781,14592587.0,
China,CHN,2016,8.51,13399.138,1401889664.0,
Colombia,COL,2016,9.17,14358.168,47625960.0,
Cote d'Ivoire,CIV,2016,7.72,4541.195,24213620.0,
Democratic Republic of Congo,COD,2016,8.45,1021.3272,81430976.0,
Ecuador,ECU,2016,9.63,11587.825,16439588.0,
Egypt,EGY,2016,10.09,10218.394,99784032.0,
Eswatini,SWZ,2016,7.82,8113.2397,1142529.0,
Ethiopia,ETH,2016,7.72,1864.4877,105293232.0,
Europe,,2016,,,744516175.0,
Georgia,GEO,2016,8.9,12963.744,3771112.0,
Germany,DEU,2016,10.7,51879.67,82331432.0,
Ghana,GHA,2016,8.08,4662.011,29554298.0,
Guatemala,GTM,2016,8.89,8206.048,16291004.0,
Haiti,HTI,2016,8.07,3153.1763,10713845.0,
Hungary,HUN,2016,9.92,28217.354,9815106.0,
India,IND,2016,9.66,5789.678,1338636288.0,
Iran,IRN,2016,11.15,14968.595,83306232.0,
Ireland,IRL,2016,10.7,72106.8,4715791.0,
Japan,JPN,2016,10.78,40727.97,126993856.0,
Kuwait,KWT,2016,11.46,53476.12,4048090.0,
Laos,LAO,2016,8.17,6850.581,6891366.0,
Lebanon,LBN,2016,11.79,17248.19,6258628.0,
Lesotho,LSO,2016,6.49,2688.1345,2143876.0,
Liberia,LBR,2016,9.11,1525.458,4706106.0,
Libya,LBY,2016,10.85,18554.48,6282202.0,
Madagascar,MDG,2016,7.47,1528.5618,25501944.0,
Mali,MLI,2016,8.15,2112.187,18700108.0,
Malta,MLT,2016,10.5,40319.73,467717.0,
Montenegro,MNE,2016,9.91,18801.268,633264.0,
Morocco,MAR,2016,11.03,7632.1855,35107272.0,
Myanmar,MMR,2016,8.46,4109.5576,51892352.0,
Nepal,NPL,2016,9.49,3244.6743,27861186.0,
Netherlands,NLD,2016,10.94,53847.83,17124512.0,
Niger,NER,2016,7.66,1143.8607,20921748.0,
North America,,2016,11.12,,576008328.0,
Oceania,,2016,7.85,,41101240.0,
Pakistan,PAK,2016,8.98,4746.718,213524848.0,
Palestine,PSE,2016,10.03,6438.9336,4593855.0,
Philippines,PHL,2016,8.46,7616.05,104875272.0,
Poland,POL,2016,10.33,28497.104,38532108.0,
Qatar,QAT,2016,11.71,97783.12,2595175.0,
Russia,RUS,2016,8.96,25490.709,145109152.0,
Singapore,SGP,2016,10.11,91146.09,5711936.0,
Slovenia,SVN,2016,11.51,34853.043,2090020.0,
Solomon Islands,SLB,2016,7.74,2609.7446,628110.0,
Somalia,SOM,2016,6.75,1076.1984,14292848.0,
South America,,2016,,,417101806.0,
South Korea,KOR,2016,10.24,39814.66,51309984.0,
Sudan,SDN,2016,10.13,4733.0176,39377168.0,
Tunisia,TUN,2016,10.85,10750.714,11685666.0,
Turkey,TUR,2016,11.56,25996.967,81019400.0,
Turkmenistan,TKM,2016,8.18,13086.014,5868568.0,
United States,USA,2016,11.16,58972.902,327210208.0,
World,OWID_WRL,2016,9.36,15750.084,7513474048.0,
Zambia,ZMB,2016,7.16,3384.268,16767758.0,
Zimbabwe,ZWE,2016,7.13,2286.6235,14452705.0,
