Entity,Code,Year,delib_vdem_owid,delib_vdem_low_owid,delib_vdem_high_owid
Argentina,ARG,1900,0.502,0.379,0.62
Argentina,ARG,1920,0.667,0.553,0.781
Argentina,ARG,1940,0.496,0.388,0.641
Argentina,ARG,1960,0.86,0.777,0.927
Argentina,ARG,1980,0.177,0.107,0.292
Argentina,ARG,2000,0.92,0.85,0.96
Argentina,ARG,2022,0.753,0.623,0.84
Australia,AUS,1920,0.879,0.806,0.938
Australia,AUS,1940,0.868,0.785,0.93
Australia,AUS,1960,0.902,0.833,0.948
Australia,AUS,1980,0.917,0.854,0.956
Australia,AUS,2000,0.911,0.855,0.955
Australia,AUS,2022,0.927,0.873,0.964
Botswana,BWA,1900,0.096,0.045,0.169
Botswana,BWA,1920,0.096,0.045,0.169
Botswana,BWA,1940,0.096,0.045,0.169
Botswana,BWA,1960,0.121,0.061,0.214
Botswana,BWA,1980,0.825,0.731,0.898
Botswana,BWA,2000,0.864,0.786,0.919
Botswana,BWA,2022,0.601,0.466,0.725
China,CHN,1900,0.063,0.032,0.12
China,CHN,1920,0.363,0.253,0.479
China,CHN,1940,0.35,0.244,0.473
China,CHN,1960,0.075,0.039,0.145
China,CHN,1980,0.45,0.324,0.569
China,CHN,2000,0.519,0.401,0.649
China,CHN,2022,0.285,0.188,0.408
