Entity,Code,Year,Hypothetical global meat demand if everyone ate like the average citizen of a given country
Australia,AUS,1961,409155520.0
Australia,AUS,1970,607310300.0
Australia,AUS,1980,801929100.0
Australia,AUS,1990,955096640.0
Australia,AUS,2000,1198692900.0
Australia,AUS,2010,1284217000.0
Australia,AUS,2020,1461433500.0
Australia,AUS,2021,1337491700.0
Brazil,BRA,1961,86352240.0
Brazil,BRA,1970,118705100.0
Brazil,BRA,1980,193210580.0
Brazil,BRA,1990,271938400.0
Brazil,BRA,2000,539283800.0
Brazil,BRA,2010,840680200.0
Brazil,BRA,2020,1065772900.0
Brazil,BRA,2021,1088530300.0
China,CHN,1961,10404621.0
China,CHN,1970,31410716.0
China,CHN,1980,61740960.0
China,CHN,1990,129507230.0
China,CHN,2000,292499100.0
China,CHN,2010,410419170.0
China,CHN,2020,430963740.0
China,CHN,2021,503311170.0
India,IND,1961,11403998.0
India,IND,1970,13358443.0
India,IND,1980,16752438.0
India,IND,1990,22335384.0
India,IND,2000,28941674.0
India,IND,2010,46261464.0
India,IND,2020,63115372.0
India,IND,2021,61182520.0
Japan,JPN,1961,22110794.0
Japan,JPN,1970,57458660.0
Japan,JPN,1980,115084930.0
Japan,JPN,1990,150566600.0
Japan,JPN,2000,145040000.0
Japan,JPN,2010,176315950.0
Japan,JPN,2020,258002030.0
Japan,JPN,2021,269018660.0
United States,USA,1961,282924100.0
United States,USA,1970,393472860.0
United States,USA,1980,487044380.0
United States,USA,1990,613611000.0
United States,USA,2000,817938600.0
United States,USA,2010,941778370.0
United States,USA,2020,1138092300.0
United States,USA,2021,1147130000.0
World,OWID_WRL,1961,71357080.0
World,OWID_WRL,1970,100661780.0
World,OWID_WRL,1980,136731420.0
World,OWID_WRL,1990,179486480.0
World,OWID_WRL,2000,233187710.0
World,OWID_WRL,2010,295788860.0
World,OWID_WRL,2020,343225150.0
World,OWID_WRL,2021,357391870.0
