Entity,Code,Year,Lithium production - kt
Argentina,ARG,1995,8.0
Argentina,ARG,2000,200.0
Argentina,ARG,2005,1980.0
Argentina,ARG,2010,2950.0
Argentina,ARG,2015,3600.0
Argentina,ARG,2020,5900.0
Argentina,ARG,2022,6377.9364000000005
Australia,AUS,1995,2233.4814
Australia,AUS,2000,1825.6938
Australia,AUS,2005,4839.464999999999
Australia,AUS,2010,8465.379
Australia,AUS,2015,11928.996
Australia,AUS,2020,39700.0
Australia,AUS,2022,61000.0
Brazil,BRA,1995,32.0
Brazil,BRA,2000,30.0
Brazil,BRA,2005,242.0
Brazil,BRA,2010,160.0
Brazil,BRA,2015,147.69797
Brazil,BRA,2020,1420.0
Brazil,BRA,2022,2200.0
Chile,CHL,1995,2000.0
Chile,CHL,2000,6737.877
Chile,CHL,2005,8205.998
Chile,CHL,2010,8879.804999999998
Chile,CHL,2015,9809.592
Chile,CHL,2020,21630.358
Chile,CHL,2022,38920.61
China,CHN,1995,320.0
China,CHN,2000,2400.0
China,CHN,2005,2820.0
China,CHN,2010,3950.0
China,CHN,2015,2000.0
China,CHN,2020,13300.0
China,CHN,2022,19000.0
Portugal,PRT,1995,160.0
Portugal,PRT,2000,140.28
Portugal,PRT,2005,392.775
Portugal,PRT,2010,601.635
Portugal,PRT,2015,256.79928
Portugal,PRT,2020,347.775
Portugal,PRT,2022,600.0
United States,USA,1995,3500.0
United States,USA,2000,1500.0
United States,USA,2005,1500.0
United States,USA,2010,1000.0
United States,USA,2015,900.0
United States,USA,2020,900.0
United States,USA,2022,939.234
World,OWID_WRL,1995,9485.481
World,OWID_WRL,2000,14283.851
World,OWID_WRL,2005,20947.239
World,OWID_WRL,2010,26476.818000000003
World,OWID_WRL,2015,29543.085000000003
World,OWID_WRL,2020,83695.14
World,OWID_WRL,2022,130474.3
Zimbabwe,ZWE,1995,520.0
Zimbabwe,ZWE,2000,740.0
Zimbabwe,ZWE,2005,260.0
Zimbabwe,ZWE,2010,470.0
Zimbabwe,ZWE,2015,900.0
Zimbabwe,ZWE,2020,417.0
Zimbabwe,ZWE,2022,800.0
