Entity,Code,Year,Expected years of schooling
Brazil,BRA,1990,12.10387
Brazil,BRA,1995,13.215091
Brazil,BRA,2000,14.326312
Brazil,BRA,2005,13.77737
Brazil,BRA,2010,13.856435
Brazil,BRA,2015,15.36513
Brazil,BRA,2021,15.59906
Chile,CHL,1990,12.758091
Chile,CHL,1995,12.028776
Chile,CHL,2000,13.15432
Chile,CHL,2005,14.36555
Chile,CHL,2010,15.10027
Chile,CHL,2015,16.36504
Chile,CHL,2021,16.7313
China,CHN,1990,8.63022
China,CHN,1995,8.94741
China,CHN,2000,9.68974
China,CHN,2005,11.092698
China,CHN,2010,12.42572
China,CHN,2015,13.476871
China,CHN,2021,14.2361145
Democratic Republic of Congo,COD,1990,6.2115135
Democratic Republic of Congo,COD,1995,6.7116
Democratic Republic of Congo,COD,2000,7.2519455
Democratic Republic of Congo,COD,2005,7.792291
Democratic Republic of Congo,COD,2010,9.199039
Democratic Republic of Congo,COD,2015,9.675551
Democratic Republic of Congo,COD,2021,9.817864
India,IND,1990,7.996358
India,IND,1995,8.14995
India,IND,2000,8.30649
India,IND,2005,9.650395
India,IND,2010,10.73543
India,IND,2015,11.947
India,IND,2021,11.87462
Niger,NER,1990,2.05957
Niger,NER,1995,2.3758109
Niger,NER,2000,2.803529
Niger,NER,2005,3.62817
Niger,NER,2010,4.69929
Niger,NER,2015,5.91809
Niger,NER,2021,6.957112
Nigeria,NGA,1990,5.69637
Nigeria,NGA,1995,6.702689
Nigeria,NGA,2000,8.0038
Nigeria,NGA,2005,9.02844
Nigeria,NGA,2010,8.35617
Nigeria,NGA,2015,9.399785
Nigeria,NGA,2021,10.1275835
South Korea,KOR,1990,13.58105
South Korea,KOR,1995,14.50241
South Korea,KOR,2000,15.63065
South Korea,KOR,2005,16.30055
South Korea,KOR,2010,16.84816
South Korea,KOR,2015,16.6031
South Korea,KOR,2021,16.52174
United Kingdom,GBR,1990,13.65499
United Kingdom,GBR,1995,14.90932
United Kingdom,GBR,2000,16.09624
United Kingdom,GBR,2005,16.62688
United Kingdom,GBR,2010,16.36291
United Kingdom,GBR,2015,17.32866
United Kingdom,GBR,2021,17.30972
United States,USA,1990,15.41786
United States,USA,1995,16.01859
United States,USA,2000,15.447136
United States,USA,2005,15.76187
United States,USA,2010,16.003313
United States,USA,2015,16.19199
United States,USA,2021,16.28098
