Entity,Code,Year,Deaths - Neoplasms - Sex: Both - Age: 15-49 years (Rate)
Albania,ALB,1990,24.82
Albania,ALB,1995,23.76
Albania,ALB,2000,28.37
Albania,ALB,2005,31.27
Albania,ALB,2010,28.74
Albania,ALB,2015,28.79
Albania,ALB,2019,28.69
Kiribati,KIR,1990,66.29
Kiribati,KIR,1995,67.74
Kiribati,KIR,2000,70.81
Kiribati,KIR,2005,68.36
Kiribati,KIR,2010,68.27
Kiribati,KIR,2015,65.87
Kiribati,KIR,2019,66.69
Moldova,MDA,1990,46.2
Moldova,MDA,1995,53.26
Moldova,MDA,2000,43.34
Moldova,MDA,2005,44.76
Moldova,MDA,2010,42.09
Moldova,MDA,2015,37.87
Moldova,MDA,2019,34.03
Montenegro,MNE,1990,37.49
Montenegro,MNE,1995,40.19
Montenegro,MNE,2000,48.52
Montenegro,MNE,2005,46.86
Montenegro,MNE,2010,41.68
Montenegro,MNE,2015,38.28
Montenegro,MNE,2019,39.02
Nepal,NPL,1990,25.89
Nepal,NPL,1995,23.81
Nepal,NPL,2000,20.96
Nepal,NPL,2005,19.63
Nepal,NPL,2010,20.59
Nepal,NPL,2015,21.93
Nepal,NPL,2019,22.35
San Marino,SMR,1990,29.46
San Marino,SMR,1995,28.92
San Marino,SMR,2000,28.72
San Marino,SMR,2005,31.13
San Marino,SMR,2010,33.56
San Marino,SMR,2015,34.78
San Marino,SMR,2019,34.3
