Entity,Code,Year,Death rate in ongoing conflicts in a country (best estimate) - Conflict type: all
Afghanistan,AFG,1989,50.697205
Afghanistan,AFG,1995,34.16792
Afghanistan,AFG,2000,27.564877
Afghanistan,AFG,2005,6.964018
Afghanistan,AFG,2010,25.367447
Afghanistan,AFG,2015,53.108566
Afghanistan,AFG,2020,53.391857
Afghanistan,AFG,2022,3.642219
Eritrea,ERI,1989,314.06165
Eritrea,ERI,1995,0.0
Eritrea,ERI,2000,2089.5254
Eritrea,ERI,2005,0.0
Eritrea,ERI,2010,0.0
Eritrea,ERI,2015,0.0
Eritrea,ERI,2020,1.8842089
Eritrea,ERI,2022,1.0857643
Ethiopia,ETH,1989,40.6291
Ethiopia,ETH,1995,1.7902956
Ethiopia,ETH,2000,0.6593878
Ethiopia,ETH,2005,0.31883332
Ethiopia,ETH,2010,0.03473864
Ethiopia,ETH,2015,0.310329
Ethiopia,ETH,2020,4.1120934
Ethiopia,ETH,2022,83.36851
Iraq,IRQ,1989,0.32105306
Iraq,IRQ,1995,6.4299455
Iraq,IRQ,2000,0.75115126
Iraq,IRQ,2005,12.234009
Iraq,IRQ,2010,5.926778
Iraq,IRQ,2015,29.932878
Iraq,IRQ,2020,2.140659
Iraq,IRQ,2022,1.8406098
Syria,SYR,1989,0.008309719
Syria,SYR,1995,0.0
Syria,SYR,2000,0.0
Syria,SYR,2005,0.0
Syria,SYR,2010,0.0
Syria,SYR,2015,305.19894
Syria,SYR,2020,27.112637
Syria,SYR,2022,7.1140466
Ukraine,UKR,1989,0.0
Ukraine,UKR,1995,0.0
Ukraine,UKR,2000,0.0
Ukraine,UKR,2005,0.0
Ukraine,UKR,2010,0.0
Ukraine,UKR,2015,3.970427
Ukraine,UKR,2020,0.446371
Ukraine,UKR,2022,208.02109
