Entity,Code,Year,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Continent
Afghanistan,AFG,2020,97.06671,99.5,
Angola,AGO,2020,,73.708916,
Benin,BEN,2020,18.19651,66.145386,
Bolivia,BOL,2020,91.813515,100.0,
Botswana,BWA,2020,26.382898,90.73645,
Burundi,BDI,2020,3.4841194,63.67844,
Cambodia,KHM,2020,82.91398,97.3,
Central African Republic,CAF,2020,2.2528667,33.56292,
Cote d'Ivoire,CIV,2020,43.13611,94.470604,
Djibouti,DJI,2020,24.794142,72.15771,
Equatorial Guinea,GNQ,2020,0.93263,90.966965,
Eritrea,ERI,2020,39.024685,76.30296,
Eswatini,SWZ,2020,75.756195,92.19867,
Ethiopia,ETH,2020,39.41491,93.247925,
Gambia,GMB,2020,31.562685,80.6349,
Guinea,GIN,2020,19.307596,88.08341,
Guinea-Bissau,GNB,2020,15.16809,56.274494,
Kenya,KEN,2020,62.67134,93.98622,
Liberia,LBR,2020,8.358771,45.172573,
Malawi,MWI,2020,6.6118803,53.98027,
Mali,MLI,2020,16.487305,94.08896,
Mozambique,MOZ,2020,4.468691,74.96322,
Niger,NER,2020,13.441148,48.391,
Nigeria,NGA,2020,24.576908,83.9,
North Korea,PRK,2020,67.184715,43.345455,
Rwanda,RWA,2020,38.197308,86.4,
Sao Tome and Principe,STP,2020,71.07751,78.44978,
Senegal,SEN,2020,47.357533,95.17643,
Somalia,SOM,2020,32.26347,70.12004,
South Sudan,SSD,2020,5.5638475,13.868669,
Sudan,SDN,2020,41.163734,81.517654,
Vanuatu,VUT,2020,57.650364,95.585365,
Zambia,ZMB,2020,14.010825,82.38262,
