Entity,Code,Year,"Current number of cases of neoplasms per 100 people, in both sexes aged all ages"
Cuba,CUB,1990,5.172609
Cuba,CUB,1995,5.483245
Cuba,CUB,2000,5.885881
Cuba,CUB,2005,6.4188905
Cuba,CUB,2010,6.9334426
Cuba,CUB,2015,7.4598966
Cuba,CUB,2019,7.9156747
Cyprus,CYP,1990,5.46626
Cyprus,CYP,1995,5.728357
Cyprus,CYP,2000,5.2603855
Cyprus,CYP,2005,5.594607
Cyprus,CYP,2010,6.1441364
Cyprus,CYP,2015,6.8169675
Cyprus,CYP,2019,7.866279
Israel,ISR,1990,6.9410167
Israel,ISR,1995,7.2201805
Israel,ISR,2000,7.482673
Israel,ISR,2005,7.714329
Israel,ISR,2010,7.923276
Israel,ISR,2015,8.088151
Israel,ISR,2019,8.253241
Switzerland,CHE,1990,9.840406
Switzerland,CHE,1995,10.840389
Switzerland,CHE,2000,11.402408
Switzerland,CHE,2005,11.753127
Switzerland,CHE,2010,11.839033
Switzerland,CHE,2015,11.686989
Switzerland,CHE,2019,11.642328
