Entity,Code,Year,"Deaths that are from all causes attributed to unsafe sanitation per 100,000 people, in both sexes aged all ages"
Belarus,BLR,1990,0.25001124
Belarus,BLR,1995,0.20313796
Belarus,BLR,2000,0.13328655
Belarus,BLR,2005,0.055214465
Belarus,BLR,2010,0.03875992
Belarus,BLR,2015,0.038345285
Belarus,BLR,2019,0.033098273
Central African Republic,CAF,1990,173.25485
Central African Republic,CAF,1995,157.46762
Central African Republic,CAF,2000,134.7215
Central African Republic,CAF,2005,116.413284
Central African Republic,CAF,2010,113.77161
Central African Republic,CAF,2015,114.41254
Central African Republic,CAF,2019,104.15967
Greenland,GRL,1990,0.33568302
Greenland,GRL,1995,0.33969787
Greenland,GRL,2000,0.283705
Greenland,GRL,2005,0.24879417
Greenland,GRL,2010,0.23904766
Greenland,GRL,2015,0.23389038
Greenland,GRL,2019,0.23440443
Low Income (WB),,1990,105.8667
Low Income (WB),,1995,96.67657
Low Income (WB),,2000,80.74995
Low Income (WB),,2005,61.457455
Low Income (WB),,2010,47.324577
Low Income (WB),,2015,37.308567
Low Income (WB),,2019,30.11057
