Entity,Code,Year,HIV Prevalence - Disaggregation: Adults (15-49) estimate modelled
Botswana,BWA,1990,6.12674
Botswana,BWA,1995,20.91311
Botswana,BWA,2000,25.29686
Botswana,BWA,2005,23.57134
Botswana,BWA,2010,22.27462
Botswana,BWA,2015,21.00214
Botswana,BWA,2020,18.00494
Botswana,BWA,2022,16.39355
Chile,CHL,1990,0.02892
Chile,CHL,1995,0.09955
Chile,CHL,2000,0.19656
Chile,CHL,2005,0.24199
Chile,CHL,2010,0.3053
Chile,CHL,2015,0.42404
Chile,CHL,2020,0.55401
Chile,CHL,2022,0.62069
Kenya,KEN,1990,5.45115
Kenya,KEN,1995,9.931874
Kenya,KEN,2000,8.749037
Kenya,KEN,2005,6.560179
Kenya,KEN,2010,5.592984
Kenya,KEN,2015,4.935818
Kenya,KEN,2020,4.042431
Kenya,KEN,2022,3.670509
Niger,NER,1990,0.25329
Niger,NER,1995,0.65918
Niger,NER,2000,0.81964
Niger,NER,2005,0.59685
Niger,NER,2010,0.37471
Niger,NER,2015,0.26511
Niger,NER,2020,0.19812
Niger,NER,2022,0.17812
Senegal,SEN,1990,0.15493
Senegal,SEN,1995,0.38142
Senegal,SEN,2000,0.70642
Senegal,SEN,2005,0.6911
Senegal,SEN,2010,0.56599
Senegal,SEN,2015,0.43271
Senegal,SEN,2020,0.33708
Senegal,SEN,2022,0.30718
