Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)",Prevalence of anemia among women of reproductive age (% of women ages 15-49),Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Argentina,ARG,2019,22071.748,11.9,44745516.0,
Asia,,2019,,,4627738749.0,
Bahrain,BHR,2019,49768.977,35.4,1494195.0,
Bangladesh,BGD,2019,5467.208,36.7,165516224.0,
Benin,BEN,2019,3156.439,55.2,12290443.0,
Burkina Faso,BFA,2019,2110.0623,52.5,20951638.0,
Burundi,BDI,2019,729.65845,38.5,11874838.0,
Cambodia,KHM,2019,4464.2944,47.1,16207746.0,
Chad,TCD,2019,1561.9967,45.4,16126868.0,
Chile,CHL,2019,24816.611,8.7,19039484.0,
China,CHN,2019,15977.764,15.5,1421864064.0,
Colombia,COL,2019,14616.135,21.2,50187404.0,
Comoros,COM,2019,3290.6506,33.8,790993.0,
Cote d'Ivoire,CIV,2019,5126.6343,50.9,26147544.0,
Democratic Republic of Congo,COD,2019,1059.8921,42.4,89906896.0,
Djibouti,DJI,2019,4768.113,32.3,1073999.0,
Dominican Republic,DOM,2019,18171.06,26.4,10881886.0,
Ecuador,ECU,2019,11390.217,17.2,17343742.0,
Egypt,EGY,2019,11180.697,28.3,105618672.0,
Ethiopia,ETH,2019,2181.659,23.9,114120592.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,45922.793,10.6,64399760.0,
Gabon,GAB,2019,14478.002,52.4,2242788.0,
Greece,GRC,2019,29721.586,15.1,10574026.0,
Guatemala,GTM,2019,8671.703,7.4,17106338.0,
Guinea,GIN,2019,2545.1401,48.0,12877537.0,
High-income countries,,2019,49982.78,13.900811,1214846354.0,
Honduras,HND,2019,5613.6606,18.0,9958832.0,
India,IND,2019,6608.624,53.0,1383112064.0,
Indonesia,IDN,2019,11857.789,31.2,269582880.0,
Iran,IRN,2019,14084.354,24.1,86564208.0,
Israel,ISR,2019,40810.055,12.9,8607922.0,
Jordan,JOR,2019,9551.165,37.7,10698682.0,
Kazakhstan,KAZ,2019,26351.805,28.7,18754260.0,
Kenya,KEN,2019,4601.2114,28.7,50951452.0,
Kuwait,KWT,2019,47314.797,23.7,4441105.0,
Laos,LAO,2019,7840.0713,39.5,7212058.0,
Low-income countries,,2019,2011.7366,38.59166,661633048.0,
Lower-middle-income countries,,2019,7259.8174,42.16943,3326051409.0,
Malawi,MWI,2019,1517.7031,31.4,18867340.0,
Malaysia,MYS,2019,27674.402,32.0,32804024.0,
Maldives,MDV,2019,20574.404,52.2,504518.0,
Mali,MLI,2019,2219.0466,59.0,20567430.0,
Mexico,MEX,2019,20064.5,15.3,125085312.0,
Micronesia (country),FSM,2019,3540.7825,25.0,111392.0,
Morocco,MAR,2019,8217.599,29.9,36304408.0,
Mozambique,MOZ,2019,1285.1848,47.9,30285602.0,
Nicaragua,NIC,2019,5348.9873,15.7,6663919.0,
Nigeria,NGA,2019,5076.368,55.1,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,5157.5464,41.3,223293280.0,
Philippines,PHL,2019,8731.861,12.3,110380800.0,
Qatar,QAT,2019,90840.43,28.1,2807242.0,
Romania,ROU,2019,30006.336,22.7,19524212.0,
Rwanda,RWA,2019,2191.4016,17.2,12835029.0,
Saudi Arabia,SAU,2019,44954.992,27.5,35827364.0,
Senegal,SEN,2019,3430.484,52.7,16000783.0,
South America,,2019,,,428318218.0,
Sri Lanka,LKA,2019,13639.021,34.6,21649664.0,
Sudan,SDN,2019,4133.1304,36.5,43232092.0,
Thailand,THA,2019,18003.672,24.0,71307768.0,
Togo,TGO,2019,2080.5242,45.7,8243093.0,
Tonga,TON,2019,6344.3115,28.5,104965.0,
Uganda,UGA,2019,2250.015,32.8,42949076.0,
United States,USA,2019,62478.254,11.8,334319680.0,
Upper-middle-income countries,,2019,17273.334,17.766882,2530546049.0,
Uzbekistan,UZB,2019,7348.147,24.8,32976946.0,
Vanuatu,VUT,2019,3070.3508,28.5,304414.0,
Vietnam,VNM,2019,10252.005,20.6,95776712.0,
World,OWID_WRL,2019,16847.46,29.9,7764951040.0,
Zambia,ZMB,2019,3372.359,31.5,18380478.0,
Zimbabwe,ZWE,2019,2203.3967,28.9,15354606.0,
