Entity,Code,Year,Food as share of total consumer expenditure,Total food expenditure,Continent
Algeria,DZA,2021,37.25587,614.0008,
Angola,AGO,2021,49.737926,657.6129,
Argentina,ARG,2021,23.198097,1494.6925,
Australia,AUS,2021,9.974969,3239.4424,
Austria,AUT,2021,11.312785,2987.647,
Azerbaijan,AZE,2021,43.555817,1223.5452,
Bahrain,BHR,2021,13.064381,1239.1884,
Bangladesh,BGD,2021,52.749126,791.20123,
Belarus,BLR,2021,32.121384,1179.2625,
Belgium,BEL,2021,13.478635,3260.3809,
Bolivia,BOL,2021,29.18861,659.9653,
Bosnia and Herzegovina,BIH,2021,30.022688,1421.5299,
Brazil,BRA,2021,16.252525,722.0721,
Bulgaria,BGR,2021,19.334064,1338.8458,
Cambodia,KHM,2021,42.712593,546.4503,
Cameroon,CMR,2021,45.21058,540.9608,
Chile,CHL,2021,18.504671,1806.7124,
China,CHN,2021,19.952589,933.8022,
Costa Rica,CRI,2021,31.579697,2656.4326,
Croatia,HRV,2021,19.568707,2256.284,
Czechia,CZE,2021,16.136227,1947.2992,
Denmark,DNK,2021,12.320651,3727.229,
Dominican Republic,DOM,2021,26.796751,1674.0455,
Ecuador,ECU,2021,26.310055,984.15454,
Egypt,EGY,2021,37.588936,1369.1368,
Estonia,EST,2021,20.17674,2621.3987,
Ethiopia,ETH,2021,41.309013,244.73125,
Greece,GRC,2021,17.637985,2489.9873,
Guatemala,GTM,2021,34.604183,1484.9662,
Honduras,HND,2021,31.932835,712.1019,
India,IND,2021,32.083492,446.47217,
Ireland,IRL,2021,9.241572,2147.791,
Israel,ISR,2021,15.958162,3996.6045,
Japan,JPN,2021,16.690418,3458.9053,
Kazakhstan,KAZ,2021,49.421284,2554.1501,
Kenya,KEN,2021,56.078693,885.3816,
Laos,LAO,2021,50.623756,875.5985,
Lebanon,LBN,2021,21.0206,602.0936,
Lithuania,LTU,2021,20.98476,2885.609,
Myanmar,MMR,2021,56.626648,501.6014,
Norway,NOR,2021,12.482959,4093.419,
Panama,PAN,2021,15.680728,1244.6166,
Philippines,PHL,2021,38.564606,995.6181,
Qatar,QAT,2021,12.284774,1779.9376,
Romania,ROU,2021,25.202482,2262.3289,
Slovenia,SVN,2021,14.870162,2331.8235,
Switzerland,CHE,2021,9.924487,4313.358,
Tanzania,TZA,2021,27.379164,179.84703,
Tunisia,TUN,2021,24.192238,647.72565,
Uganda,UGA,2021,44.24747,293.40057,
United Kingdom,GBR,2021,8.655319,2417.7542,
United States,USA,2021,6.689246,3070.234,
Venezuela,VEN,2021,18.609703,46.672245,
